"r\c","c00","c01","c02","c03","c04","c05","c06","c07","c08","c09","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49"
"r00","(0,0) #5a2060","(1,0) #5a2060","(2,0) #5a2060","(3,0) #5a2060","(4,0) #5a2060","(5,0) #5a2060","(6,0) #2a1a4a","(7,0) #2a1a4a","(8,0) #2a1a4a","(9,0) #ffffff","(10,0) #2a1a4a","(11,0) #2a1a4a","(12,0) #2a1a4a","(13,0) #2a1a4a","(14,0) #2a1a4a","(15,0) #2a1a4a","(16,0) #2040a0","(17,0) #2040a0","(18,0) #2040a0","(19,0) #2040a0","(20,0) #2040a0","(21,0) #2a1a4a","(22,0) #2a1a4a","(23,0) #2a1a4a","(24,0) #2a1a4a","(25,0) #2a1a4a","(26,0) #2a1a4a","(27,0) #2a1a4a","(28,0) #2a1a4a","(29,0) #2a1a4a","(30,0) #2a1a4a","(31,0) #2a1a4a","(32,0) #2a1a4a","(33,0) #ffffff","(34,0) #402080","(35,0) #402080","(36,0) #402080","(37,0) #402080","(38,0) #2a1a4a","(39,0) #2a1a4a","(40,0) #2a1a4a","(41,0) #2a1a4a","(42,0) #2a1a4a","(43,0) #2a1a4a","(44,0) #2a1a4a","(45,0) #2a1a4a","(46,0) #2a1a4a","(47,0) #2a1a4a","(48,0) #2a1a4a","(49,0) #2a1a4a"
"r01","(0,1) #5a2060","(1,1) #5a2060","(2,1) #5a2060","(3,1) #5a2060","(4,1) #5a2060","(5,1) #5a2060","(6,1) #3a1a5a","(7,1) #ffffff","(8,1) #603080","(9,1) #603080","(10,1) #603080","(11,1) #603080","(12,1) #603080","(13,1) #3a1a5a","(14,1) #3a1a5a","(15,1) #3a1a5a","(16,1) #2040a0","(17,1) #2040a0","(18,1) #2040a0","(19,1) #2040a0","(20,1) #2040a0","(21,1) #ffffff","(22,1) #3a1a5a","(23,1) #3a1a5a","(24,1) #206080","(25,1) #206080","(26,1) #206080","(27,1) #206080","(28,1) #206080","(29,1) #ffffff","(30,1) #3a1a5a","(31,1) #3a1a5a","(32,1) #3a1a5a","(33,1) #402080","(34,1) #402080","(35,1) #402080","(36,1) #402080","(37,1) #402080","(38,1) #3a1a5a","(39,1) #3a1a5a","(40,1) #3a1a5a","(41,1) #3a1a5a","(42,1) #3a1a5a","(43,1) #3a1a5a","(44,1) #3a1a5a","(45,1) #3a1a5a","(46,1) #3a1a5a","(47,1) #3a1a5a","(48,1) #3a1a5a","(49,1) #3a1a5a"
"r02","(0,2) #4a2a6a","(1,2) #4a2a6a","(2,2) #4a2a6a","(3,2) #ffffff","(4,2) #4a2a6a","(5,2) #4a2a6a","(6,2) #4a2a6a","(7,2) #4a2a6a","(8,2) #603080","(9,2) #603080","(10,2) #603080","(11,2) #603080","(12,2) #603080","(13,2) #4a2a6a","(14,2) #4a2a6a","(15,2) #4a2a6a","(16,2) #4a2a6a","(17,2) #ffffff","(18,2) #4a2a6a","(19,2) #4a2a6a","(20,2) #4a2a6a","(21,2) #4a2a6a","(22,2) #4a2a6a","(23,2) #4a2a6a","(24,2) #206080","(25,2) #206080","(26,2) #206080","(27,2) #ffffff","(28,2) #206080","(29,2) #206080","(30,2) #4a2a6a","(31,2) #4a2a6a","(32,2) #4a2a6a","(33,2) #4a2a6a","(34,2) #4a2a6a","(35,2) #4a2a6a","(36,2) #4a2a6a","(37,2) #4a2a6a","(38,2) #4a2a6a","(39,2) #4a2a6a","(40,2) #4a2a6a","(41,2) #4a2a6a","(42,2) #4a2a6a","(43,2) #4a2a6a","(44,2) #4a2a6a","(45,2) #4a2a6a","(46,2) #4a2a6a","(47,2) #4a2a6a","(48,2) #4a2a6a","(49,2) #4a2a6a"
"r03","(0,3) #5a2a7a","(1,3) #5a2a7a","(2,3) #803060","(3,3) #803060","(4,3) #803060","(5,3) #803060","(6,3) #5a2a7a","(7,3) #5a2a7a","(8,3) #5a2a7a","(9,3) #5a2a7a","(10,3) #5a2a7a","(11,3) #5a2a7a","(12,3) #6040a0","(13,3) #6040a0","(14,3) #6040a0","(15,3) #ffffff","(16,3) #6040a0","(17,3) #5a2a7a","(18,3) #ffccff","(19,3) #5a2a7a","(20,3) #5a2a7a","(21,3) #4060a0","(22,3) #ffccff","(23,3) #ffffff","(24,3) #4060a0","(25,3) #5a2a7a","(26,3) #5a2a7a","(27,3) #5a2a7a","(28,3) #5a2a7a","(29,3) #5a2a7a","(30,3) #603080","(31,3) #603080","(32,3) #603080","(33,3) #603080","(34,3) #603080","(35,3) #5a2a7a","(36,3) #ffffff","(37,3) #5a2a7a","(38,3) #ffffff","(39,3) #5a2a7a","(40,3) #5a2a7a","(41,3) #5a2a7a","(42,3) #5a2a7a","(43,3) #5a2a7a","(44,3) #5a2a7a","(45,3) #5a2a7a","(46,3) #5a2a7a","(47,3) #5a2a7a","(48,3) #5a2a7a","(49,3) #5a2a7a"
"r04","(0,4) #4a1a6a","(1,4) #4a1a6a","(2,4) #803060","(3,4) #803060","(4,4) #ffffff","(5,4) #803060","(6,4) #4a1a6a","(7,4) #4a1a6a","(8,4) #4a1a6a","(9,4) #4a1a6a","(10,4) #4a1a6a","(11,4) #4a1a6a","(12,4) #6040a0","(13,4) #6040a0","(14,4) #6040a0","(15,4) #6040a0","(16,4) #6040a0","(17,4) #4a1a6a","(18,4) #4a1a6a","(19,4) #4a1a6a","(20,4) #4a1a6a","(21,4) #4060a0","(22,4) #ffff88","(23,4) #4060a0","(24,4) #ffff88","(25,4) #4a1a6a","(26,4) #4a1a6a","(27,4) #4a1a6a","(28,4) #ffffff","(29,4) #4a1a6a","(30,4) #603080","(31,4) #603080","(32,4) #603080","(33,4) #603080","(34,4) #603080","(35,4) #4a1a6a","(36,4) #4a1a6a","(37,4) #4a1a6a","(38,4) #4a1a6a","(39,4) #4a1a6a","(40,4) #4a1a6a","(41,4) #4a1a6a","(42,4) #4a1a6a","(43,4) #4a1a6a","(44,4) #4a1a6a","(45,4) #4a1a6a","(46,4) #4a1a6a","(47,4) #4a1a6a","(48,4) #4a1a6a","(49,4) #4a1a6a"
"r05","(0,5) #802060","(1,5) #802060","(2,5) #802060","(3,5) #3a1858","(4,5) #3a1858","(5,5) #3a1858","(6,5) #ffffff","(7,5) #3a1858","(8,5) #3a1858","(9,5) #3a1858","(10,5) #3a1858","(11,5) #3a1858","(12,5) #3a1858","(13,5) #3a1858","(14,5) #3a1858","(15,5) #3a1858","(16,5) #ffffff","(17,5) #ffaadd","(18,5) #3a1858","(19,5) #3a1858","(20,5) #ffddee","(21,5) #406080","(22,5) #406080","(23,5) #ffff88","(24,5) #406080","(25,5) #ffffff","(26,5) #3a1858","(27,5) #3a1858","(28,5) #3a1858","(29,5) #3a1858","(30,5) #3a1858","(31,5) #3a1858","(32,5) #3a1858","(33,5) #3a1858","(34,5) #3a1858","(35,5) #3a1858","(36,5) #3a1858","(37,5) #3a1858","(38,5) #603060","(39,5) #603060","(40,5) #3a1858","(41,5) #3a1858","(42,5) #3a1858","(43,5) #3a1858","(44,5) #3a1858","(45,5) #3a1858","(46,5) #3a1858","(47,5) #3a1858","(48,5) #3a1858","(49,5) #3a1858"
"r06","(0,6) #802060","(1,6) #802060","(2,6) #802060","(3,6) #2a1448","(4,6) #2a1448","(5,6) #2a1448","(6,6) #2a1448","(7,6) #2a1448","(8,6) #2a1448","(9,6) #604080","(10,6) #604080","(11,6) #604080","(12,6) #604080","(13,6) #ffffff","(14,6) #2a1448","(15,6) #2a1448","(16,6) #2a1448","(17,6) #2a1448","(18,6) #ff88cc","(19,6) #2a1448","(20,6) #ffddee","(21,6) #406080","(22,6) #ff88cc","(23,6) #406080","(24,6) #406080","(25,6) #2a1448","(26,6) #2a1448","(27,6) #2a1448","(28,6) #2a1448","(29,6) #2a1448","(30,6) #802040","(31,6) #802040","(32,6) #802040","(33,6) #802040","(34,6) #2a1448","(35,6) #2a1448","(36,6) #ffffff","(37,6) #2a1448","(38,6) #603060","(39,6) #603060","(40,6) #2a1448","(41,6) #2a1448","(42,6) #2a1448","(43,6) #2a1448","(44,6) #2a1448","(45,6) #2a1448","(46,6) #2a1448","(47,6) #2a1448","(48,6) #2a1448","(49,6) #2a1448"
"r07","(0,7) #1a0a38","(1,7) #1a0a38","(2,7) #1a0a38","(3,7) #1a0a38","(4,7) #1a0a38","(5,7) #1a0a38","(6,7) #1a0a38","(7,7) #1a0a38","(8,7) #1a0a38","(9,7) #604080","(10,7) #604080","(11,7) #604080","(12,7) #604080","(13,7) #1a0a38","(14,7) #1a0a38","(15,7) #1a0a38","(16,7) #ffccff","(17,7) #1a0a38","(18,7) #1a0a38","(19,7) #1a0a38","(20,7) #ffddee","(21,7) #1a0a38","(22,7) #1a0a38","(23,7) #1a0a38","(24,7) #ffccff","(25,7) #1a0a38","(26,7) #1a0a38","(27,7) #1a0a38","(28,7) #1a0a38","(29,7) #1a0a38","(30,7) #802040","(31,7) #802040","(32,7) #802040","(33,7) #802040","(34,7) #1a0a38","(35,7) #1a0a38","(36,7) #1a0a38","(37,7) #1a0a38","(38,7) #1a0a38","(39,7) #1a0a38","(40,7) #1a0a38","(41,7) #1a0a38","(42,7) #1a0a38","(43,7) #1a0a38","(44,7) #1a0a38","(45,7) #1a0a38","(46,7) #1a0a38","(47,7) #1a0a38","(48,7) #1a0a38","(49,7) #1a0a38"
"r08","(0,8) #1e1040","(1,8) #ffffff","(2,8) #1e1040","(3,8) #1e1040","(4,8) #1e1040","(5,8) #1e1040","(6,8) #1e1040","(7,8) #1e1040","(8,8) #1e1040","(9,8) #1e1040","(10,8) #1e1040","(11,8) #1e1040","(12,8) #1e1040","(13,8) #1e1040","(14,8) #1e1040","(15,8) #1e1040","(16,8) #1e1040","(17,8) #1e1040","(18,8) #1e1040","(19,8) #ffd0c8","(20,8) #ffddee","(21,8) #ffd0c8","(22,8) #1e1040","(23,8) #ffffff","(24,8) #1e1040","(25,8) #1e1040","(26,8) #1e1040","(27,8) #1e1040","(28,8) #1e1040","(29,8) #1e1040","(30,8) #1e1040","(31,8) #1e1040","(32,8) #1e1040","(33,8) #1e1040","(34,8) #1e1040","(35,8) #1e1040","(36,8) #1e1040","(37,8) #1e1040","(38,8) #1e1040","(39,8) #1e1040","(40,8) #1e1040","(41,8) #1e1040","(42,8) #1e1040","(43,8) #1e1040","(44,8) #1e1040","(45,8) #1e1040","(46,8) #1e1040","(47,8) #1e1040","(48,8) #1e1040","(49,8) #1e1040"
"r09","(0,9) #22104a","(1,9) #22104a","(2,9) #22104a","(3,9) #22104a","(4,9) #22104a","(5,9) #22104a","(6,9) #22104a","(7,9) #22104a","(8,9) #22104a","(9,9) #22104a","(10,9) #22104a","(11,9) #ffffff","(12,9) #22104a","(13,9) #22104a","(14,9) #22104a","(15,9) #ffccff","(16,9) #22104a","(17,9) #22104a","(18,9) #22104a","(19,9) #22104a","(20,9) #22104a","(21,9) #22104a","(22,9) #22104a","(23,9) #22104a","(24,9) #22104a","(25,9) #ffccff","(26,9) #22104a","(27,9) #22104a","(28,9) #22104a","(29,9) #22104a","(30,9) #22104a","(31,9) #22104a","(32,9) #22104a","(33,9) #22104a","(34,9) #22104a","(35,9) #ffffff","(36,9) #22104a","(37,9) #22104a","(38,9) #22104a","(39,9) #22104a","(40,9) #22104a","(41,9) #22104a","(42,9) #22104a","(43,9) #22104a","(44,9) #22104a","(45,9) #22104a","(46,9) #22104a","(47,9) #22104a","(48,9) #22104a","(49,9) #22104a"
