"r\c","c00","c01","c02","c03","c04","c05","c06","c07","c08","c09","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49"
"r00","(0,0) #4a7ab8","(1,0) #4a7ab8","(2,0) #4a7ab8","(3,0) #4a7ab8","(4,0) #4a7ab8","(5,0) #4a7ab8","(6,0) #f0f4ff","(7,0) #f0f4ff","(8,0) #4a7ab8","(9,0) #4a7ab8","(10,0) #4a7ab8","(11,0) #4a7ab8","(12,0) #4a7ab8","(13,0) #4a7ab8","(14,0) #4a7ab8","(15,0) #4a7ab8","(16,0) #4a7ab8","(17,0) #4a7ab8","(18,0) #4a7ab8","(19,0) #4a7ab8","(20,0) #4a7ab8","(21,0) #4a7ab8","(22,0) #4a7ab8","(23,0) #4a7ab8","(24,0) #4a7ab8","(25,0) #4a7ab8","(26,0) #4a7ab8","(27,0) #4a7ab8","(28,0) #4a7ab8","(29,0) #4a7ab8","(30,0) #4a7ab8","(31,0) #4a7ab8","(32,0) #4a7ab8","(33,0) #4a7ab8","(34,0) #4a7ab8","(35,0) #4a7ab8","(36,0) #4a7ab8","(37,0) #4a7ab8","(38,0) #4a7ab8","(39,0) #4a7ab8","(40,0) #4a7ab8","(41,0) #4a7ab8","(42,0) #4a7ab8","(43,0) #4a7ab8","(44,0) #4a7ab8","(45,0) #4a7ab8","(46,0) #4a7ab8","(47,0) #4a7ab8","(48,0) #4a7ab8","(49,0) #4a7ab8"
"r01","(0,1) #5588c4","(1,1) #5588c4","(2,1) #5588c4","(3,1) #5588c4","(4,1) #5588c4","(5,1) #f0f4ff","(6,1) #f0f4ff","(7,1) #f0f4ff","(8,1) #f0f4ff","(9,1) #5588c4","(10,1) #5588c4","(11,1) #5588c4","(12,1) #5588c4","(13,1) #5588c4","(14,1) #5588c4","(15,1) #5588c4","(16,1) #5588c4","(17,1) #5588c4","(18,1) #5588c4","(19,1) #5588c4","(20,1) #5588c4","(21,1) #5588c4","(22,1) #f0f4ff","(23,1) #5588c4","(24,1) #5588c4","(25,1) #5588c4","(26,1) #5588c4","(27,1) #5588c4","(28,1) #5588c4","(29,1) #5588c4","(30,1) #5588c4","(31,1) #5588c4","(32,1) #5588c4","(33,1) #5588c4","(34,1) #5588c4","(35,1) #5588c4","(36,1) #5588c4","(37,1) #5588c4","(38,1) #5588c4","(39,1) #5588c4","(40,1) #5588c4","(41,1) #5588c4","(42,1) #5588c4","(43,1) #5588c4","(44,1) #5588c4","(45,1) #5588c4","(46,1) #5588c4","(47,1) #5588c4","(48,1) #5588c4","(49,1) #5588c4"
"r02","(0,2) #5e90cc","(1,2) #5e90cc","(2,2) #5e90cc","(3,2) #5e90cc","(4,2) #5e90cc","(5,2) #5e90cc","(6,2) #5e90cc","(7,2) #5e90cc","(8,2) #5e90cc","(9,2) #5e90cc","(10,2) #5e90cc","(11,2) #5e90cc","(12,2) #5e90cc","(13,2) #5e90cc","(14,2) #5e90cc","(15,2) #5e90cc","(16,2) #5e90cc","(17,2) #5e90cc","(18,2) #5e90cc","(19,2) #5e90cc","(20,2) #5e90cc","(21,2) #f0f4ff","(22,2) #f0f4ff","(23,2) #f0f4ff","(24,2) #5e90cc","(25,2) #5e90cc","(26,2) #5e90cc","(27,2) #5e90cc","(28,2) #5e90cc","(29,2) #5e90cc","(30,2) #5e90cc","(31,2) #5e90cc","(32,2) #5e90cc","(33,2) #5e90cc","(34,2) #5e90cc","(35,2) #5e90cc","(36,2) #5e90cc","(37,2) #5e90cc","(38,2) #5e90cc","(39,2) #5e90cc","(40,2) #5e90cc","(41,2) #5e90cc","(42,2) #5e90cc","(43,2) #5e90cc","(44,2) #5e90cc","(45,2) #5e90cc","(46,2) #5e90cc","(47,2) #5e90cc","(48,2) #5e90cc","(49,2) #5e90cc"
"r03","(0,3) #6698d4","(1,3) #6698d4","(2,3) #6698d4","(3,3) #6698d4","(4,3) #6698d4","(5,3) #6698d4","(6,3) #6698d4","(7,3) #6698d4","(8,3) #6698d4","(9,3) #6698d4","(10,3) #6698d4","(11,3) #6698d4","(12,3) #6698d4","(13,3) #6698d4","(14,3) #6698d4","(15,3) #6698d4","(16,3) #6698d4","(17,3) #6698d4","(18,3) #6698d4","(19,3) #6698d4","(20,3) #6698d4","(21,3) #6698d4","(22,3) #6698d4","(23,3) #6698d4","(24,3) #6698d4","(25,3) #6698d4","(26,3) #6698d4","(27,3) #6698d4","(28,3) #6698d4","(29,3) #6698d4","(30,3) #6698d4","(31,3) #6698d4","(32,3) #6698d4","(33,3) #6698d4","(34,3) #6698d4","(35,3) #6698d4","(36,3) #6698d4","(37,3) #6698d4","(38,3) #6698d4","(39,3) #6698d4","(40,3) #6698d4","(41,3) #6698d4","(42,3) #6698d4","(43,3) #6698d4","(44,3) #6698d4","(45,3) #6698d4","(46,3) #6698d4","(47,3) #6698d4","(48,3) #6698d4","(49,3) #6698d4"
"r04","(0,4) #6ea0d8","(1,4) #6ea0d8","(2,4) #6ea0d8","(3,4) #6ea0d8","(4,4) #6ea0d8","(5,4) #6ea0d8","(6,4) #6ea0d8","(7,4) #6ea0d8","(8,4) #6ea0d8","(9,4) #6ea0d8","(10,4) #6ea0d8","(11,4) #6ea0d8","(12,4) #6ea0d8","(13,4) #6ea0d8","(14,4) #6ea0d8","(15,4) #6ea0d8","(16,4) #6ea0d8","(17,4) #6ea0d8","(18,4) #6ea0d8","(19,4) #6ea0d8","(20,4) #6ea0d8","(21,4) #6ea0d8","(22,4) #6ea0d8","(23,4) #6ea0d8","(24,4) #6ea0d8","(25,4) #6ea0d8","(26,4) #6ea0d8","(27,4) #6ea0d8","(28,4) #6ea0d8","(29,4) #6ea0d8","(30,4) #6ea0d8","(31,4) #6ea0d8","(32,4) #6ea0d8","(33,4) #6ea0d8","(34,4) #6ea0d8","(35,4) #6ea0d8","(36,4) #6ea0d8","(37,4) #6ea0d8","(38,4) #6ea0d8","(39,4) #6ea0d8","(40,4) #6ea0d8","(41,4) #6ea0d8","(42,4) #6ea0d8","(43,4) #6ea0d8","(44,4) #6ea0d8","(45,4) #6ea0d8","(46,4) #6ea0d8","(47,4) #6ea0d8","(48,4) #6ea0d8","(49,4) #6ea0d8"
"r05","(0,5) #5a8a2a","(1,5) #5a8a2a","(2,5) #5a8a2a","(3,5) #5a8a2a","(4,5) #5a8a2a","(5,5) #5a8a2a","(6,5) #5a8a2a","(7,5) #5a8a2a","(8,5) #5a8a2a","(9,5) #5a8a2a","(10,5) #5a8a2a","(11,5) #5a8a2a","(12,5) #c0b0a0","(13,5) #1a6aaf","(14,5) #c0b0a0","(15,5) #1a6aaf","(16,5) #c0b0a0","(17,5) #1a6aaf","(18,5) #c0b0a0","(19,5) #1a6aaf","(20,5) #c0b0a0","(21,5) #1a6aaf","(22,5) #c0b0a0","(23,5) #1a6aaf","(24,5) #c0b0a0","(25,5) #1a6aaf","(26,5) #c0b0a0","(27,5) #5a8a2a","(28,5) #5a8a2a","(29,5) #5a8a2a","(30,5) #5a8a2a","(31,5) #5a8a2a","(32,5) #5a8a2a","(33,5) #5a8a2a","(34,5) #5a8a2a","(35,5) #5a8a2a","(36,5) #5a8a2a","(37,5) #5a8a2a","(38,5) #5a8a2a","(39,5) #5a8a2a","(40,5)","(41,5)","(42,5)","(43,5)","(44,5)","(45,5)","(46,5)","(47,5)","(48,5)","(49,5)"
"r06","(0,6) #5a8a2a","(1,6) #5a8a2a","(2,6) #5a8a2a","(3,6) #5a8a2a","(4,6) #5a8a2a","(5,6) #5a8a2a","(6,6) #5a8a2a","(7,6) #5a8a2a","(8,6) #5a8a2a","(9,6) #5a8a2a","(10,6) #5a8a2a","(11,6) #5a8a2a","(12,6) #8a7a6a","(13,6) #b0a090","(14,6) #b0a090","(15,6) #b0a090","(16,6) #8a7a6a","(17,6) #b0a090","(18,6) #b0a090","(19,6) #b0a090","(20,6) #8a7a6a","(21,6) #b0a090","(22,6) #b0a090","(23,6) #b0a090","(24,6) #8a7a6a","(25,6) #b0a090","(26,6) #b0a090","(27,6) #b0a090","(28,6) #5a8a2a","(29,6) #5a8a2a","(30,6) #5a8a2a","(31,6) #5a8a2a","(32,6) #5a8a2a","(33,6) #5a8a2a","(34,6) #5a8a2a","(35,6) #5a8a2a","(36,6) #5a8a2a","(37,6) #5a8a2a","(38,6) #5a8a2a","(39,6) #5a8a2a","(40,6)","(41,6)","(42,6)","(43,6)","(44,6)","(45,6)","(46,6)","(47,6)","(48,6)","(49,6)"
"r07","(0,7) #8b6914","(1,7) #8b6914","(2,7) #8b6914","(3,7) #8b6914","(4,7) #8b6914","(5,7) #8b6914","(6,7) #8b6914","(7,7) #8b6914","(8,7) #8b6914","(9,7) #8b6914","(10,7) #8b6914","(11,7) #8b6914","(12,7) #8a7a6a","(13,7) #9a8a7a","(14,7) #9a8a7a","(15,7) #9a8a7a","(16,7) #8a7a6a","(17,7) #9a8a7a","(18,7) #9a8a7a","(19,7) #9a8a7a","(20,7) #8a7a6a","(21,7) #9a8a7a","(22,7) #9a8a7a","(23,7) #9a8a7a","(24,7) #8a7a6a","(25,7) #9a8a7a","(26,7) #9a8a7a","(27,7) #9a8a7a","(28,7) #8b6914","(29,7) #8b6914","(30,7) #8b6914","(31,7) #8b6914","(32,7) #8b6914","(33,7) #8b6914","(34,7) #8b6914","(35,7) #8b6914","(36,7) #8b6914","(37,7) #8b6914","(38,7) #8b6914","(39,7) #8b6914","(40,7)","(41,7)","(42,7)","(43,7)","(44,7)","(45,7)","(46,7)","(47,7)","(48,7)","(49,7)"
"r08","(0,8) #8b6914","(1,8) #8b6914","(2,8) #8b6914","(3,8) #8b6914","(4,8) #8b6914","(5,8) #8b6914","(6,8) #8b6914","(7,8) #8b6914","(8,8) #8b6914","(9,8) #8b6914","(10,8) #8b6914","(11,8) #8b6914","(12,8) #7a6a5a","(13,8) #7a6a5a","(14,8) #1e72b8","(15,8) #1e72b8","(16,8) #1e72b8","(17,8) #1e72b8","(18,8) #1e72b8","(19,8) #1e72b8","(20,8) #1e72b8","(21,8) #1e72b8","(22,8) #1e72b8","(23,8) #1e72b8","(24,8) #1e72b8","(25,8) #88ccff","(26,8) #7a6a5a","(27,8) #7a6a5a","(28,8) #8b6914","(29,8) #8b6914","(30,8) #8b6914","(31,8) #8b6914","(32,8) #8b6914","(33,8) #8b6914","(34,8) #8b6914","(35,8) #8b6914","(36,8) #8b6914","(37,8) #8b6914","(38,8) #8b6914","(39,8) #8b6914","(40,8)","(41,8)","(42,8)","(43,8)","(44,8)","(45,8)","(46,8)","(47,8)","(48,8)","(49,8)"
"r09","(0,9) #8b6914","(1,9) #8b6914","(2,9) #8b6914","(3,9) #8b6914","(4,9) #8b6914","(5,9) #8b6914","(6,9) #8b6914","(7,9) #8b6914","(8,9) #8b6914","(9,9) #8b6914","(10,9) #8b6914","(11,9) #8b6914","(12,9) #7a6a5a","(13,9) #7a6a5a","(14,9) #1a6aaf","(15,9) #1a6aaf","(16,9) #1a6aaf","(17,9) #1a6aaf","(18,9) #88ccff","(19,9) #1a6aaf","(20,9) #1a6aaf","(21,9) #1a6aaf","(22,9) #1a6aaf","(23,9) #1a6aaf","(24,9) #88ccff","(25,9) #1a6aaf","(26,9) #7a6a5a","(27,9) #7a6a5a","(28,9) #8b6914","(29,9) #8b6914","(30,9) #8b6914","(31,9) #8b6914","(32,9) #8b6914","(33,9) #8b6914","(34,9) #8b6914","(35,9) #8b6914","(36,9) #8b6914","(37,9) #8b6914","(38,9) #8b6914","(39,9) #8b6914","(40,9)","(41,9)","(42,9)","(43,9)","(44,9)","(45,9)","(46,9)","(47,9)","(48,9)","(49,9)"
