"r\c","c00","c01","c02","c03","c04","c05","c06","c07","c08","c09","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49"
"r00","(0,0) #0e0c0a","(1,0) #0e0c0a","(2,0) #0e0c0a","(3,0) #0c0808","(4,0) #0c0808","(5,0) #0c0808","(6,0) #0c0808","(7,0) #0c0808","(8,0) #0c0808","(9,0) #0c0808","(10,0) #0c0808","(11,0) #0c0808","(12,0) #0c0808","(13,0) #0c0808","(14,0) #0c0808","(15,0) #0c0808","(16,0) #0c0808","(17,0) #0c0808","(18,0) #0c0808","(19,0) #0c0808","(20,0) #0c0808","(21,0) #0c0808","(22,0) #0c0808","(23,0) #0c0808","(24,0) #0c0808","(25,0) #0c0808","(26,0) #0c0808","(27,0) #0c0808","(28,0) #0c0808","(29,0) #0c0808","(30,0) #0c0808","(31,0) #0c0808","(32,0) #0c0808","(33,0) #0c0808","(34,0) #0c0808","(35,0) #0c0808","(36,0) #0c0808","(37,0) #0e0c0a","(38,0) #0e0c0a","(39,0) #0e0c0a","(40,0) #0c0808","(41,0) #0c0808","(42,0) #0c0808","(43,0) #0c0808","(44,0) #0c0808","(45,0) #0c0808","(46,0) #0c0808","(47,0) #0c0808","(48,0) #0c0808","(49,0) #0c0808"
"r01","(0,1) #0e0c0a","(1,1) #0e0c0a","(2,1) #0e0c0a","(3,1) #0a0606","(4,1) #0a0606","(5,1) #0a0606","(6,1) #0a0606","(7,1) #0a0606","(8,1) #0a0606","(9,1) #0a0606","(10,1) #0a0606","(11,1) #0a0606","(12,1) #0a0606","(13,1) #0a0606","(14,1) #0a0606","(15,1) #0a0606","(16,1) #0a0606","(17,1) #0a0606","(18,1) #0a0606","(19,1) #0a0606","(20,1) #0a0606","(21,1) #0a0606","(22,1) #0a0606","(23,1) #0a0606","(24,1) #0a0606","(25,1) #0a0606","(26,1) #0a0606","(27,1) #0a0606","(28,1) #0a0606","(29,1) #0a0606","(30,1) #0a0606","(31,1) #0a0606","(32,1) #0a0606","(33,1) #0a0606","(34,1) #0a0606","(35,1) #0a0606","(36,1) #0a0606","(37,1) #0e0c0a","(38,1) #0e0c0a","(39,1) #0e0c0a","(40,1) #0a0606","(41,1) #0a0606","(42,1) #0a0606","(43,1) #0a0606","(44,1) #0a0606","(45,1) #0a0606","(46,1) #0a0606","(47,1) #0a0606","(48,1) #0a0606","(49,1) #0a0606"
"r02","(0,2) #0e0c0a","(1,2) #0e0c0a","(2,2) #0e0c0a","(3,2) #0c0808","(4,2) #0c0808","(5,2) #0c0808","(6,2) #0c0808","(7,2) #0c0808","(8,2) #0c0808","(9,2) #0c0808","(10,2) #0c0808","(11,2) #0c0808","(12,2) #0c0808","(13,2) #0c0808","(14,2) #0c0808","(15,2) #0c0808","(16,2) #0c0808","(17,2) #0c0808","(18,2) #0c0808","(19,2) #0c0808","(20,2) #0c0808","(21,2) #0c0808","(22,2) #0c0808","(23,2) #0c0808","(24,2) #0c0808","(25,2) #0c0808","(26,2) #0c0808","(27,2) #0c0808","(28,2) #0c0808","(29,2) #0c0808","(30,2) #0c0808","(31,2) #0c0808","(32,2) #0c0808","(33,2) #0c0808","(34,2) #0c0808","(35,2) #0c0808","(36,2) #0c0808","(37,2) #0e0c0a","(38,2) #0e0c0a","(39,2) #0e0c0a","(40,2) #0c0808","(41,2) #0c0808","(42,2) #0c0808","(43,2) #0c0808","(44,2) #0c0808","(45,2) #0c0808","(46,2) #0c0808","(47,2) #0c0808","(48,2) #0c0808","(49,2) #0c0808"
"r03","(0,3) #0e0c0a","(1,3) #0e0c0a","(2,3) #0e0c0a","(3,3) #0a0606","(4,3) #0a0606","(5,3) #0a0606","(6,3) #0a0606","(7,3) #0a0606","(8,3) #0a0606","(9,3) #0a0606","(10,3) #0a0606","(11,3) #0a0606","(12,3) #0a0606","(13,3) #0a0606","(14,3) #0a0606","(15,3) #0a0606","(16,3) #0a0606","(17,3) #0a0606","(18,3) #0a0606","(19,3) #0a0606","(20,3) #0a0606","(21,3) #0a0606","(22,3) #0a0606","(23,3) #0a0606","(24,3) #0a0606","(25,3) #0a0606","(26,3) #0a0606","(27,3) #0a0606","(28,3) #0a0606","(29,3) #0a0606","(30,3) #0a0606","(31,3) #0a0606","(32,3) #0a0606","(33,3) #0a0606","(34,3) #0a0606","(35,3) #0a0606","(36,3) #0a0606","(37,3) #0e0c0a","(38,3) #0e0c0a","(39,3) #0e0c0a","(40,3) #0a0606","(41,3) #0a0606","(42,3) #0a0606","(43,3) #0a0606","(44,3) #0a0606","(45,3) #0a0606","(46,3) #0a0606","(47,3) #0a0606","(48,3) #0a0606","(49,3) #0a0606"
"r04","(0,4) #0e0c0a","(1,4) #0e0c0a","(2,4) #0e0c0a","(3,4) #0c0808","(4,4) #0c0808","(5,4) #0c0808","(6,4) #0c0808","(7,4) #0c0808","(8,4) #0c0808","(9,4) #0c0808","(10,4) #0c0808","(11,4) #0c0808","(12,4) #0c0808","(13,4) #0c0808","(14,4) #0c0808","(15,4) #0c0808","(16,4) #0c0808","(17,4) #0c0808","(18,4) #0c0808","(19,4) #0c0808","(20,4) #0c0808","(21,4) #0c0808","(22,4) #0c0808","(23,4) #0c0808","(24,4) #0c0808","(25,4) #0c0808","(26,4) #0c0808","(27,4) #0c0808","(28,4) #0c0808","(29,4) #0c0808","(30,4) #0c0808","(31,4) #0c0808","(32,4) #0c0808","(33,4) #0c0808","(34,4) #0c0808","(35,4) #0c0808","(36,4) #0c0808","(37,4) #0e0c0a","(38,4) #0e0c0a","(39,4) #0e0c0a","(40,4) #0c0808","(41,4) #0c0808","(42,4) #0c0808","(43,4) #0c0808","(44,4) #0c0808","(45,4) #0c0808","(46,4) #0c0808","(47,4) #0c0808","(48,4) #0c0808","(49,4) #0c0808"
"r05","(0,5) #0e0c0a","(1,5) #0e0c0a","(2,5) #0e0c0a","(3,5) #0a0606","(4,5) #0a0606","(5,5) #0a0606","(6,5) #0a0606","(7,5) #0a0606","(8,5) #0a0606","(9,5) #0a0606","(10,5) #0a0606","(11,5) #0a0606","(12,5) #0a0606","(13,5) #0a0606","(14,5) #0a0606","(15,5) #0a0606","(16,5) #0a0606","(17,5) #0a0606","(18,5) #0a0606","(19,5) #0a0606","(20,5) #0a0606","(21,5) #0a0606","(22,5) #0a0606","(23,5) #0a0606","(24,5) #0a0606","(25,5) #0a0606","(26,5) #0a0606","(27,5) #0a0606","(28,5) #0a0606","(29,5) #0a0606","(30,5) #0a0606","(31,5) #0a0606","(32,5) #0a0606","(33,5) #0a0606","(34,5) #0a0606","(35,5) #0a0606","(36,5) #0a0606","(37,5) #0e0c0a","(38,5) #0e0c0a","(39,5) #0e0c0a","(40,5) #0a0606","(41,5) #0a0606","(42,5) #0a0606","(43,5) #0a0606","(44,5) #0a0606","(45,5) #0a0606","(46,5) #0a0606","(47,5) #0a0606","(48,5) #0a0606","(49,5) #0a0606"
"r06","(0,6) #0e0c0a","(1,6) #0e0c0a","(2,6) #0e0c0a","(3,6) #0c0808","(4,6) #0c0808","(5,6) #0c0808","(6,6) #0c0808","(7,6) #0c0808","(8,6) #0c0808","(9,6) #0c0808","(10,6) #0c0808","(11,6) #0c0808","(12,6) #ffcc00","(13,6) #ff9900","(14,6) #ffcc00","(15,6) #ff9900","(16,6) #ffcc00","(17,6) #ff9900","(18,6) #ffcc00","(19,6) #ff9900","(20,6) #ffcc00","(21,6) #ff9900","(22,6) #ffcc00","(23,6) #ff9900","(24,6) #ffcc00","(25,6) #ff9900","(26,6) #ffcc00","(27,6) #ff9900","(28,6) #0c0808","(29,6) #0c0808","(30,6) #0c0808","(31,6) #0c0808","(32,6) #0c0808","(33,6) #0c0808","(34,6) #0c0808","(35,6) #0c0808","(36,6) #0c0808","(37,6) #0e0c0a","(38,6) #0e0c0a","(39,6) #0e0c0a","(40,6) #0c0808","(41,6) #0c0808","(42,6) #0c0808","(43,6) #0c0808","(44,6) #0c0808","(45,6) #0c0808","(46,6) #0c0808","(47,6) #0c0808","(48,6) #0c0808","(49,6) #0c0808"
"r07","(0,7) #0e0c0a","(1,7) #0e0c0a","(2,7) #0e0c0a","(3,7) #0a0606","(4,7) #0a0606","(5,7) #0a0606","(6,7) #0a0606","(7,7) #0a0606","(8,7) #0a0606","(9,7) #0a0606","(10,7) #0a0606","(11,7) #0a0606","(12,7) #ffaa00","(13,7) #0a0606","(14,7) #6b3010","(15,7) #ffee55","(16,7) #ffee55","(17,7) #ffee55","(18,7) #ffee55","(19,7) #2a1800","(20,7) #2a1800","(21,7) #ffee55","(22,7) #ffee55","(23,7) #ffee55","(24,7) #ffee55","(25,7) #6b3010","(26,7) #0a0606","(27,7) #ffaa00","(28,7) #0a0606","(29,7) #0a0606","(30,7) #0a0606","(31,7) #0a0606","(32,7) #0a0606","(33,7) #0a0606","(34,7) #0a0606","(35,7) #0a0606","(36,7) #0a0606","(37,7) #0e0c0a","(38,7) #0e0c0a","(39,7) #0e0c0a","(40,7) #0a0606","(41,7) #0a0606","(42,7) #0a0606","(43,7) #0a0606","(44,7) #0a0606","(45,7) #0a0606","(46,7) #0a0606","(47,7) #0a0606","(48,7) #0a0606","(49,7) #0a0606"
"r08","(0,8) #0e0c0a","(1,8) #0e0c0a","(2,8) #0e0c0a","(3,8) #0c0808","(4,8) #0c0808","(5,8) #0c0808","(6,8) #0c0808","(7,8) #0c0808","(8,8) #0c0808","(9,8) #0c0808","(10,8) #0c0808","(11,8) #0c0808","(12,8) #ffaa00","(13,8) #0c0808","(14,8) #6b3010","(15,8) #ffee55","(16,8) #2a1800","(17,8) #ffee55","(18,8) #2a1800","(19,8) #ffee55","(20,8) #2a1800","(21,8) #ffee55","(22,8) #2a1800","(23,8) #ffee55","(24,8) #2a1800","(25,8) #6b3010","(26,8) #0c0808","(27,8) #ffaa00","(28,8) #0c0808","(29,8) #0c0808","(30,8) #0c0808","(31,8) #0c0808","(32,8) #0c0808","(33,8) #0c0808","(34,8) #0c0808","(35,8) #0c0808","(36,8) #0c0808","(37,8) #0e0c0a","(38,8) #0e0c0a","(39,8) #0e0c0a","(40,8) #0c0808","(41,8) #0c0808","(42,8) #0c0808","(43,8) #0c0808","(44,8) #0c0808","(45,8) #0c0808","(46,8) #0c0808","(47,8) #0c0808","(48,8) #0c0808","(49,8) #0c0808"
"r09","(0,9) #0e0c0a","(1,9) #0e0c0a","(2,9) #0e0c0a","(3,9) #0a0606","(4,9) #0a0606","(5,9) #0a0606","(6,9) #0a0606","(7,9) #0a0606","(8,9) #0a0606","(9,9) #0a0606","(10,9) #cc9900","(11,9) #ffd700","(12,9) #ffaa00","(13,9) #ffd700","(14,9) #6b3010","(15,9) #6b3010","(16,9) #6b3010","(17,9) #6b3010","(18,9) #6b3010","(19,9) #d4af37","(20,9) #b89030","(21,9) #6b3010","(22,9) #6b3010","(23,9) #6b3010","(24,9) #6b3010","(25,9) #6b3010","(26,9) #cc9900","(27,9) #ffaa00","(28,9) #cc9900","(29,9) #ffd700","(30,9) #0a0606","(31,9) #0a0606","(32,9) #0a0606","(33,9) #0a0606","(34,9) #0a0606","(35,9) #0a0606","(36,9) #0a0606","(37,9) #0e0c0a","(38,9) #0e0c0a","(39,9) #0e0c0a","(40,9) #0a0606","(41,9) #0a0606","(42,9) #0a0606","(43,9) #0a0606","(44,9) #0a0606","(45,9) #0a0606","(46,9) #0a0606","(47,9) #0a0606","(48,9) #0a0606","(49,9) #0a0606"
