r\c,c00,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49
r00,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506
r01,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404
r02,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#1e0808,#1e0808,#1e0808,#1e0808,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506
r03,#080404,#0c0606,#1e0808,#1e0808,#0c0606,#1e0808,#080404,#080404,#0c0606,#080404,#080404,#080404,#080404,#0c0606,#080404,#080404,#080404,#080404,#0c0606,#1e0808,#1e0808,#1e0808,#080404,#0c0606,#080404,#080404,#080404,#080404,#0c0606,#080404,#080404,#080404,#080404,#0c0606,#080404,#080404,#080404,#0c0606,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404
r04,#0a0506,#0c0606,#1e0808,#1e0808,#0c0606,#1e0808,#0a0506,#0a0506,#0c0606,#0a0506,#0a0506,#0a0506,#0a0506,#0c0606,#0a0506,#0a0506,#0a0506,#0a0506,#0c0606,#0a0506,#0a0506,#0a0506,#0a0506,#0c0606,#0a0506,#0a0506,#160606,#160606,#0c0606,#160606,#160606,#0a0506,#0a0506,#0c0606,#0a0506,#0a0506,#0a0506,#0c0606,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506
r05,#080404,#0e0808,#080404,#080404,#0e0808,#080404,#080404,#080404,#0e0808,#080404,#180606,#180606,#180606,#0e0808,#180606,#080404,#080404,#080404,#0e0808,#080404,#080404,#080404,#080404,#0e0808,#080404,#080404,#160606,#160606,#0e0808,#160606,#160606,#080404,#080404,#0e0808,#080404,#080404,#080404,#0e0808,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404
r06,#0a0506,#0e0808,#0a0506,#0a0506,#0e0808,#0a0506,#0a0506,#0a0506,#0e0808,#0a0506,#180606,#180606,#180606,#0e0808,#180606,#0a0506,#0a0506,#0a0506,#0e0808,#0a0506,#0a0506,#0a0506,#0a0506,#0e0808,#0a0506,#0a0506,#0a0506,#0a0506,#0e0808,#0a0506,#0a0506,#0a0506,#1e0808,#0e0808,#1e0808,#1e0808,#0a0506,#0e0808,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506
r07,#080404,#0e0808,#080404,#080404,#0e0808,#080404,#080404,#080404,#0e0808,#080404,#080404,#080404,#080404,#0e0808,#080404,#080404,#080404,#080404,#0e0808,#080404,#080404,#080404,#180606,#0e0808,#180606,#180606,#080404,#080404,#0e0808,#080404,#080404,#080404,#1e0808,#0e0808,#1e0808,#1e0808,#080404,#0e0808,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404
r08,#0a0506,#0e0808,#0a0506,#0a0506,#0e0808,#0a0506,#180606,#180606,#0e0808,#180606,#0a0506,#0a0506,#0a0506,#0e0808,#0a0506,#0a0506,#0a0506,#0a0506,#0e0808,#0a0506,#0a0506,#0a0506,#180606,#0e0808,#180606,#180606,#0a0506,#0a0506,#0e0808,#0a0506,#0a0506,#0a0506,#0a0506,#0e0808,#0a0506,#0a0506,#0a0506,#0e0808,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506,#0a0506
r09,#080404,#0e0808,#080404,#080404,#0e0808,#080404,#180606,#180606,#0e0808,#180606,#080404,#080404,#080404,#0e0808,#1c0808,#1c0808,#1c0808,#1c0808,#0e0808,#080404,#080404,#080404,#080404,#0e0808,#080404,#080404,#080404,#080404,#0e0808,#080404,#1e0808,#1e0808,#1e0808,#0e0808,#080404,#080404,#080404,#0e0808,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404,#080404
