r\c,c00,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49
r00,#5a2060,#5a2060,#5a2060,#5a2060,#5a2060,#5a2060,#2a1a4a,#2a1a4a,#2a1a4a,#ffffff,#2a1a4a,#2a1a4a,#2a1a4a,#2a1a4a,#2a1a4a,#2a1a4a,#2040a0,#2040a0,#2040a0,#2040a0,#2040a0,#2a1a4a,#2a1a4a,#2a1a4a,#2a1a4a,#2a1a4a,#2a1a4a,#2a1a4a,#2a1a4a,#2a1a4a,#2a1a4a,#2a1a4a,#2a1a4a,#ffffff,#402080,#402080,#402080,#402080,#2a1a4a,#2a1a4a,#2a1a4a,#2a1a4a,#2a1a4a,#2a1a4a,#2a1a4a,#2a1a4a,#2a1a4a,#2a1a4a,#2a1a4a,#2a1a4a
r01,#5a2060,#5a2060,#5a2060,#5a2060,#5a2060,#5a2060,#3a1a5a,#ffffff,#603080,#603080,#603080,#603080,#603080,#3a1a5a,#3a1a5a,#3a1a5a,#2040a0,#2040a0,#2040a0,#2040a0,#2040a0,#ffffff,#3a1a5a,#3a1a5a,#206080,#206080,#206080,#206080,#206080,#ffffff,#3a1a5a,#3a1a5a,#3a1a5a,#402080,#402080,#402080,#402080,#402080,#3a1a5a,#3a1a5a,#3a1a5a,#3a1a5a,#3a1a5a,#3a1a5a,#3a1a5a,#3a1a5a,#3a1a5a,#3a1a5a,#3a1a5a,#3a1a5a
r02,#4a2a6a,#4a2a6a,#4a2a6a,#ffffff,#4a2a6a,#4a2a6a,#4a2a6a,#4a2a6a,#603080,#603080,#603080,#603080,#603080,#4a2a6a,#4a2a6a,#4a2a6a,#4a2a6a,#ffffff,#4a2a6a,#4a2a6a,#4a2a6a,#4a2a6a,#4a2a6a,#4a2a6a,#206080,#206080,#206080,#ffffff,#206080,#206080,#4a2a6a,#4a2a6a,#4a2a6a,#4a2a6a,#4a2a6a,#4a2a6a,#4a2a6a,#4a2a6a,#4a2a6a,#4a2a6a,#4a2a6a,#4a2a6a,#4a2a6a,#4a2a6a,#4a2a6a,#4a2a6a,#4a2a6a,#4a2a6a,#4a2a6a,#4a2a6a
r03,#5a2a7a,#5a2a7a,#803060,#803060,#803060,#803060,#5a2a7a,#5a2a7a,#5a2a7a,#5a2a7a,#5a2a7a,#5a2a7a,#6040a0,#6040a0,#6040a0,#ffffff,#6040a0,#5a2a7a,#ffccff,#5a2a7a,#5a2a7a,#4060a0,#ffccff,#ffffff,#4060a0,#5a2a7a,#5a2a7a,#5a2a7a,#5a2a7a,#5a2a7a,#603080,#603080,#603080,#603080,#603080,#5a2a7a,#ffffff,#5a2a7a,#ffffff,#5a2a7a,#5a2a7a,#5a2a7a,#5a2a7a,#5a2a7a,#5a2a7a,#5a2a7a,#5a2a7a,#5a2a7a,#5a2a7a,#5a2a7a
r04,#4a1a6a,#4a1a6a,#803060,#803060,#ffffff,#803060,#4a1a6a,#4a1a6a,#4a1a6a,#4a1a6a,#4a1a6a,#4a1a6a,#6040a0,#6040a0,#6040a0,#6040a0,#6040a0,#4a1a6a,#4a1a6a,#4a1a6a,#4a1a6a,#4060a0,#ffff88,#4060a0,#ffff88,#4a1a6a,#4a1a6a,#4a1a6a,#ffffff,#4a1a6a,#603080,#603080,#603080,#603080,#603080,#4a1a6a,#4a1a6a,#4a1a6a,#4a1a6a,#4a1a6a,#4a1a6a,#4a1a6a,#4a1a6a,#4a1a6a,#4a1a6a,#4a1a6a,#4a1a6a,#4a1a6a,#4a1a6a,#4a1a6a
r05,#802060,#802060,#802060,#3a1858,#3a1858,#3a1858,#ffffff,#3a1858,#3a1858,#3a1858,#3a1858,#3a1858,#3a1858,#3a1858,#3a1858,#3a1858,#ffffff,#ffaadd,#3a1858,#3a1858,#ffddee,#406080,#406080,#ffff88,#406080,#ffffff,#3a1858,#3a1858,#3a1858,#3a1858,#3a1858,#3a1858,#3a1858,#3a1858,#3a1858,#3a1858,#3a1858,#3a1858,#603060,#603060,#3a1858,#3a1858,#3a1858,#3a1858,#3a1858,#3a1858,#3a1858,#3a1858,#3a1858,#3a1858
r06,#802060,#802060,#802060,#2a1448,#2a1448,#2a1448,#2a1448,#2a1448,#2a1448,#604080,#604080,#604080,#604080,#ffffff,#2a1448,#2a1448,#2a1448,#2a1448,#ff88cc,#2a1448,#ffddee,#406080,#ff88cc,#406080,#406080,#2a1448,#2a1448,#2a1448,#2a1448,#2a1448,#802040,#802040,#802040,#802040,#2a1448,#2a1448,#ffffff,#2a1448,#603060,#603060,#2a1448,#2a1448,#2a1448,#2a1448,#2a1448,#2a1448,#2a1448,#2a1448,#2a1448,#2a1448
r07,#1a0a38,#1a0a38,#1a0a38,#1a0a38,#1a0a38,#1a0a38,#1a0a38,#1a0a38,#1a0a38,#604080,#604080,#604080,#604080,#1a0a38,#1a0a38,#1a0a38,#ffccff,#1a0a38,#1a0a38,#1a0a38,#ffddee,#1a0a38,#1a0a38,#1a0a38,#ffccff,#1a0a38,#1a0a38,#1a0a38,#1a0a38,#1a0a38,#802040,#802040,#802040,#802040,#1a0a38,#1a0a38,#1a0a38,#1a0a38,#1a0a38,#1a0a38,#1a0a38,#1a0a38,#1a0a38,#1a0a38,#1a0a38,#1a0a38,#1a0a38,#1a0a38,#1a0a38,#1a0a38
r08,#1e1040,#ffffff,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#ffd0c8,#ffddee,#ffd0c8,#1e1040,#ffffff,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040,#1e1040
r09,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a,#ffffff,#22104a,#22104a,#22104a,#ffccff,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a,#ffccff,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a,#ffffff,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a,#22104a
