r\c,c00,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49
r00,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc
r01,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6,#bfccd6
r02,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2,#b8c8d2
r03,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8,#c0cdd8
r04,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc,#c8d4dc
r05,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4,#d0dce4
r06,#b8c8d2,#b8c8d2,#b8c8d2,#2a4a18,#2a4a18,#2a4a18,#2a4a18,#2a4a18,#2a4a18,#b8c8d2,#b8c8d2,#b8c8d2,#2a4a18,#2a4a18,#2a4a18,#2a4a18,#2a4a18,#2a4a18,#2a4a18,#cc2222,#ffffff,#cc2222,#2a4a18,#2a4a18,#2a4a18,#2a4a18,#2a4a18,#2a4a18,#b8c8d2,#b8c8d2,#b8c8d2,#2a4a18,#2a4a18,#2a4a18,#2a4a18,#2a4a18,#2a4a18,#b8c8d2,#b8c8d2,#b8c8d2,#2a4a18,#2a4a18,#2a4a18,#2a4a18,#2a4a18,#2a4a18,#2a4a18,#2a4a18,#2a4a18,#2a4a18
r07,#c0ccd4,#c0ccd4,#c0ccd4,#2d5020,#2d5020,#2d5020,#2d5020,#2d5020,#2d5020,#c0ccd4,#c0ccd4,#c0ccd4,#2d5020,#2d5020,#2d5020,#2d5020,#dd3333,#ffffff,#dd3333,#2d5020,#e8dcc8,#2d5020,#dd3333,#ffffff,#dd3333,#2d5020,#2d5020,#2d5020,#c0ccd4,#c0ccd4,#c0ccd4,#2d5020,#2d5020,#2d5020,#2d5020,#2d5020,#2d5020,#c0ccd4,#c0ccd4,#c0ccd4,#2d5020,#2d5020,#2d5020,#2d5020,#2d5020,#2d5020,#2d5020,#2d5020,#2d5020,#2d5020
r08,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#e8dcc8,#305525,#305525,#a8f0c0,#305525,#305525,#e8dcc8,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525,#305525
r09,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#bb1f1f,#ffffff,#bb1f1f,#a8f0c0,#70e0a8,#70e0a8,#70e0a8,#70e0a8,#70e0a8,#a8f0c0,#cc2222,#ffffff,#cc2222,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828,#325828
