r\c,c00,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49
r00,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#f0f4ff,#f0f4ff,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8,#4a7ab8
r01,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#f0f4ff,#f0f4ff,#f0f4ff,#f0f4ff,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#f0f4ff,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4,#5588c4
r02,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#f0f4ff,#f0f4ff,#f0f4ff,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc,#5e90cc
r03,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4,#6698d4
r04,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8,#6ea0d8
r05,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#c0b0a0,#1a6aaf,#c0b0a0,#1a6aaf,#c0b0a0,#1a6aaf,#c0b0a0,#1a6aaf,#c0b0a0,#1a6aaf,#c0b0a0,#1a6aaf,#c0b0a0,#1a6aaf,#c0b0a0,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,,,,,,,,,,
r06,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#8a7a6a,#b0a090,#b0a090,#b0a090,#8a7a6a,#b0a090,#b0a090,#b0a090,#8a7a6a,#b0a090,#b0a090,#b0a090,#8a7a6a,#b0a090,#b0a090,#b0a090,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,#5a8a2a,,,,,,,,,,
r07,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8a7a6a,#9a8a7a,#9a8a7a,#9a8a7a,#8a7a6a,#9a8a7a,#9a8a7a,#9a8a7a,#8a7a6a,#9a8a7a,#9a8a7a,#9a8a7a,#8a7a6a,#9a8a7a,#9a8a7a,#9a8a7a,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,,,,,,,,,,
r08,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#7a6a5a,#7a6a5a,#1e72b8,#1e72b8,#1e72b8,#1e72b8,#1e72b8,#1e72b8,#1e72b8,#1e72b8,#1e72b8,#1e72b8,#1e72b8,#88ccff,#7a6a5a,#7a6a5a,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,,,,,,,,,,
r09,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#7a6a5a,#7a6a5a,#1a6aaf,#1a6aaf,#1a6aaf,#1a6aaf,#88ccff,#1a6aaf,#1a6aaf,#1a6aaf,#1a6aaf,#1a6aaf,#88ccff,#1a6aaf,#7a6a5a,#7a6a5a,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,,,,,,,,,,
r10,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#7a6a5a,#7a6a5a,#1868ab,#1868ab,#1868ab,#1868ab,#1868ab,#1868ab,#1868ab,#1868ab,#1868ab,#1868ab,#1868ab,#1868ab,#7a6a5a,#7a6a5a,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,,,,,,,,,,
r11,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#7a6a5a,#7a6a5a,#1664a6,#1664a6,#88ccff,#1664a6,#1664a6,#1664a6,#1664a6,#1664a6,#1664a6,#1664a6,#1664a6,#1664a6,#7a6a5a,#7a6a5a,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,,,,,,,,,,
r12,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#7a6a5a,#7a6a5a,#1460a0,#1460a0,#1460a0,#1460a0,#1460a0,#1460a0,#1460a0,#1460a0,#88ccff,#1460a0,#1460a0,#1460a0,#7a6a5a,#7a6a5a,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,,,,,,,,,,
r13,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#7a6a5a,#7a6a5a,#125c9a,#125c9a,#125c9a,#125c9a,#125c9a,#88ccff,#125c9a,#125c9a,#125c9a,#125c9a,#125c9a,#125c9a,#7a6a5a,#7a6a5a,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,#8b6914,,,,,,,,,,
