r\c,c00,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49
r00,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f
r01,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e
r02,#08070d,#08070d,#08070d,#08070d,#08070d,#5860a8,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#5860a8,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d
r03,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#b0b8e8,#06050f,#06050f,#ffffff,#06050f,#06050f,#b89868,#d8b888,#b89868,#06050f,#06050f,#ffffff,#06050f,#06050f,#b0b8e8,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f
r04,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#7078c0,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#ffffff,#ffffff,#ffffff,#200830,#c8a878,#c8a878,#c8a878,#200830,#ffffff,#ffffff,#ffffff,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#7078c0,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e
r05,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#a8b0e0,#08070d,#2a1040,#ffffff,#ffffff,#2a1040,#2a1040,#aab4c8,#ccd4e4,#aab4c8,#2a1040,#2a1040,#ffffff,#ffffff,#08070d,#08070d,#a8b0e0,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d
r06,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#301848,#ffffff,#e0e8ff,#ffffff,#301848,#301848,#ccd4e4,#ccd4e4,#ccd4e4,#301848,#301848,#ffffff,#e0e8ff,#ffffff,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f
r07,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#6068b0,#07060e,#07060e,#07060e,#07060e,#07060e,#1e1240,#1e1240,#1e1240,#ffffff,#1e1240,#8890a8,#d8e0f0,#b8c0d8,#b8c0d8,#b8c0d8,#b8c0d8,#8890a8,#1e1240,#ffffff,#1e1240,#1e1240,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#6068b0,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e,#07060e
r08,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#9098d0,#1c1038,#1c1038,#c8d0f0,#1c1038,#1c1038,#8890a8,#707890,#707890,#707890,#707890,#707890,#8890a8,#1c1038,#1c1038,#c8d0f0,#1c1038,#08070d,#9098d0,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d,#08070d
r09,#06050f,#06050f,#06050f,#06050f,#5058a0,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#1e1240,#1e1240,#1e1240,#1e1240,#1e1240,#8890a8,#dde5f5,#dde5f5,#dde5f5,#dde5f5,#dde5f5,#8890a8,#1e1240,#1e1240,#1e1240,#1e1240,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#5058a0,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f,#06050f
