r\c,c00,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49
r00,#0a4a8a,#0a4a8a,#0a4a8a,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#ffffff,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a
r01,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#3a2a1a,#3a2a1a,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298
r02,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#ffffff,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#3a2a1a,#3a2a1a,#3a2a1a,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#ffffff,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0
r03,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#3a2a1a,#3a2a1a,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#0d52a0,#aaddff,#0d52a0,#aaddff,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0,#0d52a0
r04,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#0a4a8a,#0a4a8a,#aaddff,#0a4a8a,#2a1a0a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a
r05,#084480,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#ffffff,#084480,#084480,#084480,#084480,#084480,#084480,#084480,#084480,#084480,#084480,#084480,#084480,#084480,#084480,#084480,#084480,#2a1a0a,#2a1a0a,#084480,#aaddff,#c8e8ff,#ffffff,#c8e8ff,#3a2a1a,#3a2a1a,#ffffff,#084480,#084480,#084480,#084480,#084480,#084480,#084480,#084480,#084480,#084480,#084480,#084480,#084480,#084480,#084480,#084480,#084480,#084480
r06,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#aaddff,#2a1a0a,#2a1a0a,#0a4a8a,#2a1a0a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a
r07,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#ffffff,#c8e8ff,#ffffff,#2a1a0a,#2a1a0a,#0c5090,#aaddff,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#3a2a1a,#3a2a1a,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090
r08,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#3a2a1a,#3a2a1a,#0e5498,#0e5498,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#2a1a0a,#0e5498,#0e5498,#2a1a0a,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498,#0e5498
r09,#1058a2,#1058a2,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#1058a2,#1058a2,#1058a2,#1058a2,#1058a2,#1058a2,#1058a2,#1058a2,#1058a2,#1058a2,#1058a2,#1058a2,#1058a2,#1058a2,#aaddff,#1058a2,#aaddff,#1058a2,#1058a2,#1058a2,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#1058a2,#1058a2,#1058a2,#1058a2,#1058a2,#1058a2,#1058a2,#1058a2,#1058a2,#1058a2,#1058a2,#1058a2,#1058a2,#1058a2,#1058a2,#1058a2
