r\c,c00,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49
r00,#0e0c0a,#0e0c0a,#0e0c0a,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0e0c0a,#0e0c0a,#0e0c0a,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808
r01,#0e0c0a,#0e0c0a,#0e0c0a,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0e0c0a,#0e0c0a,#0e0c0a,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606
r02,#0e0c0a,#0e0c0a,#0e0c0a,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0e0c0a,#0e0c0a,#0e0c0a,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808
r03,#0e0c0a,#0e0c0a,#0e0c0a,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0e0c0a,#0e0c0a,#0e0c0a,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606
r04,#0e0c0a,#0e0c0a,#0e0c0a,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0e0c0a,#0e0c0a,#0e0c0a,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808
r05,#0e0c0a,#0e0c0a,#0e0c0a,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0e0c0a,#0e0c0a,#0e0c0a,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606
r06,#0e0c0a,#0e0c0a,#0e0c0a,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#ffcc00,#ff9900,#ffcc00,#ff9900,#ffcc00,#ff9900,#ffcc00,#ff9900,#ffcc00,#ff9900,#ffcc00,#ff9900,#ffcc00,#ff9900,#ffcc00,#ff9900,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0e0c0a,#0e0c0a,#0e0c0a,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808
r07,#0e0c0a,#0e0c0a,#0e0c0a,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#ffaa00,#0a0606,#6b3010,#ffee55,#ffee55,#ffee55,#ffee55,#2a1800,#2a1800,#ffee55,#ffee55,#ffee55,#ffee55,#6b3010,#0a0606,#ffaa00,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0e0c0a,#0e0c0a,#0e0c0a,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606
r08,#0e0c0a,#0e0c0a,#0e0c0a,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#ffaa00,#0c0808,#6b3010,#ffee55,#2a1800,#ffee55,#2a1800,#ffee55,#2a1800,#ffee55,#2a1800,#ffee55,#2a1800,#6b3010,#0c0808,#ffaa00,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0e0c0a,#0e0c0a,#0e0c0a,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808,#0c0808
r09,#0e0c0a,#0e0c0a,#0e0c0a,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#cc9900,#ffd700,#ffaa00,#ffd700,#6b3010,#6b3010,#6b3010,#6b3010,#6b3010,#d4af37,#b89030,#6b3010,#6b3010,#6b3010,#6b3010,#6b3010,#cc9900,#ffaa00,#cc9900,#ffd700,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0e0c0a,#0e0c0a,#0e0c0a,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606,#0a0606
