"r\c","c00","c01","c02","c03","c04","c05","c06","c07","c08","c09","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49"
"r00","(0,0) #050510","(1,0) #050510","(2,0) #050510","(3,0) #050510","(4,0) #050510","(5,0) #050510","(6,0) #050510","(7,0) #ffffff","(8,0) #050510","(9,0) #050510","(10,0) #050510","(11,0) #050510","(12,0) #050510","(13,0) #050510","(14,0) #050510","(15,0) #050510","(16,0) #050510","(17,0) #050510","(18,0) #ffffff","(19,0) #050510","(20,0) #050510","(21,0) #050510","(22,0) #050510","(23,0) #050510","(24,0) #050510","(25,0) #050510","(26,0) #050510","(27,0) #050510","(28,0) #050510","(29,0) #ffffff","(30,0) #050510","(31,0) #050510","(32,0) #050510","(33,0) #050510","(34,0) #050510","(35,0) #050510","(36,0) #050510","(37,0) #050510","(38,0) #050510","(39,0) #050510","(40,0) #050510","(41,0) #050510","(42,0) #050510","(43,0) #050510","(44,0) #050510","(45,0) #050510","(46,0) #050510","(47,0) #050510","(48,0) #050510","(49,0) #050510"
"r01","(0,1) #070716","(1,1) #070716","(2,1) #ffffff","(3,1) #070716","(4,1) #070716","(5,1) #070716","(6,1) #070716","(7,1) #070716","(8,1) #070716","(9,1) #ffffff","(10,1) #070716","(11,1) #070716","(12,1) #070716","(13,1) #070716","(14,1) #070716","(15,1) #070716","(16,1) #070716","(17,1) #070716","(18,1) #070716","(19,1) #070716","(20,1) #070716","(21,1) #070716","(22,1) #070716","(23,1) #070716","(24,1) #ffffff","(25,1) #070716","(26,1) #070716","(27,1) #070716","(28,1) #070716","(29,1) #070716","(30,1) #070716","(31,1) #ffffff","(32,1) #070716","(33,1) #070716","(34,1) #fdf8c8","(35,1) #fffad0","(36,1) #fdf8c8","(37,1) #ffffff","(38,1) #070716","(39,1) #070716","(40,1) #070716","(41,1) #070716","(42,1) #070716","(43,1) #070716","(44,1) #070716","(45,1) #070716","(46,1) #070716","(47,1) #070716","(48,1) #070716","(49,1) #070716"
"r02","(0,2) #09091c","(1,2) #09091c","(2,2) #09091c","(3,2) #09091c","(4,2) #09091c","(5,2) #09091c","(6,2) #09091c","(7,2) #09091c","(8,2) #09091c","(9,2) #09091c","(10,2) #09091c","(11,2) #09091c","(12,2) #ffffff","(13,2) #09091c","(14,2) #09091c","(15,2) #ffffff","(16,2) #09091c","(17,2) #09091c","(18,2) #09091c","(19,2) #09091c","(20,2) #09091c","(21,2) #09091c","(22,2) #09091c","(23,2) #09091c","(24,2) #09091c","(25,2) #09091c","(26,2) #ffffff","(27,2) #09091c","(28,2) #09091c","(29,2) #09091c","(30,2) #09091c","(31,2) #09091c","(32,2) #09091c","(33,2) #ffffff","(34,2) #fffad0","(35,2) #fffad0","(36,2) #fffad0","(37,2) #09091c","(38,2) #09091c","(39,2) #09091c","(40,2) #09091c","(41,2) #09091c","(42,2) #09091c","(43,2) #09091c","(44,2) #09091c","(45,2) #09091c","(46,2) #09091c","(47,2) #09091c","(48,2) #09091c","(49,2) #09091c"
"r03","(0,3) #081806","(1,3) #0b0b20","(2,3) #0b0b20","(3,3) #0b0b20","(4,3) #081806","(5,3) #ffffff","(6,3) #0b0b20","(7,3) #0b0b20","(8,3) #0b0b20","(9,3) #0b0b20","(10,3) #0b0b20","(11,3) #0b0b20","(12,3) #0b0b20","(13,3) #0b0b20","(14,3) #0b0b20","(15,3) #0b0b20","(16,3) #081806","(17,3) #0b0b20","(18,3) #0b0b20","(19,3) #0b0b20","(20,3) #081806","(21,3) #ffffff","(22,3) #0b0b20","(23,3) #0b0b20","(24,3) #081806","(25,3) #0b0b20","(26,3) #0b0b20","(27,3) #0b0b20","(28,3) #081806","(29,3) #0b0b20","(30,3) #0b0b20","(31,3) #0b0b20","(32,3) #081806","(33,3) #0b0b20","(34,3) #fffad0","(35,3) #fffad0","(36,3) #fffad0","(37,3) #0b0b20","(38,3) #ffffff","(39,3) #0b0b20","(40,3) #0b0b20","(41,3) #0b0b20","(42,3) #0b0b20","(43,3) #0b0b20","(44,3) #0b0b20","(45,3) #0b0b20","(46,3) #0b0b20","(47,3) #0b0b20","(48,3) #0b0b20","(49,3) #0b0b20"
"r04","(0,4) #0a2008","(1,4) #0a2008","(2,4) #0d0d24","(3,4) #0a2008","(4,4) #0a2008","(5,4) #0d0d24","(6,4) #0a2008","(7,4) #0a2008","(8,4) #0d0d24","(9,4) #0a2008","(10,4) #0a2008","(11,4) #0d0d24","(12,4) #0d0d24","(13,4) #0a2008","(14,4) #0a2008","(15,4) #0d0d24","(16,4) #0a2008","(17,4) #0a2008","(18,4) #0d0d24","(19,4) #0d0d24","(20,4) #0a2008","(21,4) #0a2008","(22,4) #0d0d24","(23,4) #0d0d24","(24,4) #0a2008","(25,4) #0a2008","(26,4) #0d0d24","(27,4) #0d0d24","(28,4) #0a2008","(29,4) #0a2008","(30,4) #0d0d24","(31,4) #0a2008","(32,4) #0a2008","(33,4) #0d0d24","(34,4) #0a2008","(35,4) #0a2008","(36,4) #0d0d24","(37,4) #0a2008","(38,4) #0a2008","(39,4) #0a2008","(40,4) #0d0d24","(41,4) #0d0d24","(42,4) #0d0d24","(43,4) #0d0d24","(44,4) #0d0d24","(45,4) #0d0d24","(46,4) #0d0d24","(47,4) #0d0d24","(48,4) #0d0d24","(49,4) #0d0d24"
"r05","(0,5) #0a2008","(1,5) #0a2008","(2,5) #0b0b20","(3,5) #0a2008","(4,5) #0a2008","(5,5) #0b0b20","(6,5) #0a2008","(7,5) #0a2008","(8,5) #0b0b20","(9,5) #0a2008","(10,5) #0a2008","(11,5) #0b0b20","(12,5) #0b0b20","(13,5) #0a2008","(14,5) #0a2008","(15,5) #0b0b20","(16,5) #0a2008","(17,5) #0a2008","(18,5) #0b0b20","(19,5) #0b0b20","(20,5) #0a2008","(21,5) #0a2008","(22,5) #0b0b20","(23,5) #0b0b20","(24,5) #0a2008","(25,5) #0a2008","(26,5) #0b0b20","(27,5) #0b0b20","(28,5) #0a2008","(29,5) #0a2008","(30,5) #0b0b20","(31,5) #0a2008","(32,5) #0a2008","(33,5) #0b0b20","(34,5) #0a2008","(35,5) #0a2008","(36,5) #0b0b20","(37,5) #0a2008","(38,5) #0a2008","(39,5) #0a2008","(40,5) #0b0b20","(41,5) #0b0b20","(42,5) #0b0b20","(43,5) #0b0b20","(44,5) #0b0b20","(45,5) #0b0b20","(46,5) #0b0b20","(47,5) #0b0b20","(48,5) #0b0b20","(49,5) #0b0b20"
"r06","(0,6) #0d2b0d","(1,6) #0d2b0d","(2,6) #09091c","(3,6) #0d2b0d","(4,6) #0d2b0d","(5,6) #09091c","(6,6) #0d2b0d","(7,6) #0d2b0d","(8,6) #09091c","(9,6) #0d2b0d","(10,6) #0d2b0d","(11,6) #09091c","(12,6) #09091c","(13,6) #0d2b0d","(14,6) #0d2b0d","(15,6) #09091c","(16,6) #0d2b0d","(17,6) #0d2b0d","(18,6) #09091c","(19,6) #09091c","(20,6) #0d2b0d","(21,6) #0d2b0d","(22,6) #09091c","(23,6) #09091c","(24,6) #0d2b0d","(25,6) #0d2b0d","(26,6) #09091c","(27,6) #09091c","(28,6) #0d2b0d","(29,6) #0d2b0d","(30,6) #09091c","(31,6) #0d2b0d","(32,6) #0d2b0d","(33,6) #09091c","(34,6) #0d2b0d","(35,6) #0d2b0d","(36,6) #09091c","(37,6) #0d2b0d","(38,6) #0d2b0d","(39,6) #0d2b0d","(40,6) #09091c","(41,6) #09091c","(42,6) #09091c","(43,6) #09091c","(44,6) #09091c","(45,6) #09091c","(46,6) #09091c","(47,6) #09091c","(48,6) #09091c","(49,6) #09091c"
"r07","(0,7) #0d2b0d","(1,7) #0d2b0d","(2,7) #070716","(3,7) #0d2b0d","(4,7) #0d2b0d","(5,7) #070716","(6,7) #0d2b0d","(7,7) #0d2b0d","(8,7) #070716","(9,7) #0d2b0d","(10,7) #0d2b0d","(11,7) #070716","(12,7) #070716","(13,7) #0d2b0d","(14,7) #0d2b0d","(15,7) #070716","(16,7) #0d2b0d","(17,7) #0d2b0d","(18,7) #070716","(19,7) #070716","(20,7) #0d2b0d","(21,7) #0d2b0d","(22,7) #070716","(23,7) #070716","(24,7) #0d2b0d","(25,7) #0d2b0d","(26,7) #070716","(27,7) #070716","(28,7) #0d2b0d","(29,7) #0d2b0d","(30,7) #070716","(31,7) #0d2b0d","(32,7) #0d2b0d","(33,7) #070716","(34,7) #0d2b0d","(35,7) #0d2b0d","(36,7) #070716","(37,7) #0d2b0d","(38,7) #0d2b0d","(39,7) #0d2b0d","(40,7) #070716","(41,7) #070716","(42,7) #070716","(43,7) #070716","(44,7) #070716","(45,7) #070716","(46,7) #070716","(47,7) #070716","(48,7) #070716","(49,7) #070716"
"r08","(0,8) #0d2b0d","(1,8) #0d2b0d","(2,8) #050510","(3,8) #0d2b0d","(4,8) #0d2b0d","(5,8) #050510","(6,8) #0d2b0d","(7,8) #0d2b0d","(8,8) #050510","(9,8) #0d2b0d","(10,8) #0d2b0d","(11,8) #050510","(12,8) #050510","(13,8) #0d2b0d","(14,8) #0d2b0d","(15,8) #050510","(16,8) #0d2b0d","(17,8) #0d2b0d","(18,8) #050510","(19,8) #050510","(20,8) #0d2b0d","(21,8) #0d2b0d","(22,8) #050510","(23,8) #050510","(24,8) #0d2b0d","(25,8) #0d2b0d","(26,8) #050510","(27,8) #050510","(28,8) #0d2b0d","(29,8) #0d2b0d","(30,8) #050510","(31,8) #0d2b0d","(32,8) #0d2b0d","(33,8) #050510","(34,8) #0d2b0d","(35,8) #0d2b0d","(36,8) #050510","(37,8) #0d2b0d","(38,8) #0d2b0d","(39,8) #0d2b0d","(40,8) #050510","(41,8) #050510","(42,8) #050510","(43,8) #050510","(44,8) #050510","(45,8) #050510","(46,8) #050510","(47,8) #050510","(48,8) #050510","(49,8) #050510"
"r09","(0,9) #180d00","(1,9) #180d00","(2,9) #040410","(3,9) #180d00","(4,9) #180d00","(5,9) #040410","(6,9) #180d00","(7,9) #180d00","(8,9) #040410","(9,9) #180d00","(10,9) #180d00","(11,9) #040410","(12,9) #040410","(13,9) #180d00","(14,9) #180d00","(15,9) #040410","(16,9) #180d00","(17,9) #180d00","(18,9) #040410","(19,9) #040410","(20,9) #180d00","(21,9) #180d00","(22,9) #040410","(23,9) #040410","(24,9) #180d00","(25,9) #180d00","(26,9) #040410","(27,9) #040410","(28,9) #180d00","(29,9) #180d00","(30,9) #040410","(31,9) #180d00","(32,9) #180d00","(33,9) #040410","(34,9) #180d00","(35,9) #180d00","(36,9) #040410","(37,9) #180d00","(38,9) #180d00","(39,9) #180d00","(40,9) #040410","(41,9) #040410","(42,9) #040410","(43,9) #040410","(44,9) #040410","(45,9) #040410","(46,9) #040410","(47,9) #040410","(48,9) #040410","(49,9) #040410"
