"r\c","c00","c01","c02","c03","c04","c05","c06","c07","c08","c09","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49"
"r00","(0,0) #c8d4dc","(1,0) #c8d4dc","(2,0) #c8d4dc","(3,0) #c8d4dc","(4,0) #c8d4dc","(5,0) #c8d4dc","(6,0) #c8d4dc","(7,0) #c8d4dc","(8,0) #c8d4dc","(9,0) #c8d4dc","(10,0) #c8d4dc","(11,0) #c8d4dc","(12,0) #c8d4dc","(13,0) #c8d4dc","(14,0) #c8d4dc","(15,0) #c8d4dc","(16,0) #c8d4dc","(17,0) #c8d4dc","(18,0) #c8d4dc","(19,0) #c8d4dc","(20,0) #c8d4dc","(21,0) #c8d4dc","(22,0) #c8d4dc","(23,0) #c8d4dc","(24,0) #c8d4dc","(25,0) #c8d4dc","(26,0) #c8d4dc","(27,0) #c8d4dc","(28,0) #c8d4dc","(29,0) #c8d4dc","(30,0) #c8d4dc","(31,0) #c8d4dc","(32,0) #c8d4dc","(33,0) #c8d4dc","(34,0) #c8d4dc","(35,0) #c8d4dc","(36,0) #c8d4dc","(37,0) #c8d4dc","(38,0) #c8d4dc","(39,0) #c8d4dc","(40,0) #c8d4dc","(41,0) #c8d4dc","(42,0) #c8d4dc","(43,0) #c8d4dc","(44,0) #c8d4dc","(45,0) #c8d4dc","(46,0) #c8d4dc","(47,0) #c8d4dc","(48,0) #c8d4dc","(49,0) #c8d4dc"
"r01","(0,1) #bfccd6","(1,1) #bfccd6","(2,1) #bfccd6","(3,1) #bfccd6","(4,1) #bfccd6","(5,1) #bfccd6","(6,1) #bfccd6","(7,1) #bfccd6","(8,1) #bfccd6","(9,1) #bfccd6","(10,1) #bfccd6","(11,1) #bfccd6","(12,1) #bfccd6","(13,1) #bfccd6","(14,1) #bfccd6","(15,1) #bfccd6","(16,1) #bfccd6","(17,1) #bfccd6","(18,1) #bfccd6","(19,1) #bfccd6","(20,1) #bfccd6","(21,1) #bfccd6","(22,1) #bfccd6","(23,1) #bfccd6","(24,1) #bfccd6","(25,1) #bfccd6","(26,1) #bfccd6","(27,1) #bfccd6","(28,1) #bfccd6","(29,1) #bfccd6","(30,1) #bfccd6","(31,1) #bfccd6","(32,1) #bfccd6","(33,1) #bfccd6","(34,1) #bfccd6","(35,1) #bfccd6","(36,1) #bfccd6","(37,1) #bfccd6","(38,1) #bfccd6","(39,1) #bfccd6","(40,1) #bfccd6","(41,1) #bfccd6","(42,1) #bfccd6","(43,1) #bfccd6","(44,1) #bfccd6","(45,1) #bfccd6","(46,1) #bfccd6","(47,1) #bfccd6","(48,1) #bfccd6","(49,1) #bfccd6"
"r02","(0,2) #b8c8d2","(1,2) #b8c8d2","(2,2) #b8c8d2","(3,2) #b8c8d2","(4,2) #b8c8d2","(5,2) #b8c8d2","(6,2) #b8c8d2","(7,2) #b8c8d2","(8,2) #b8c8d2","(9,2) #b8c8d2","(10,2) #b8c8d2","(11,2) #b8c8d2","(12,2) #b8c8d2","(13,2) #b8c8d2","(14,2) #b8c8d2","(15,2) #b8c8d2","(16,2) #b8c8d2","(17,2) #b8c8d2","(18,2) #b8c8d2","(19,2) #b8c8d2","(20,2) #b8c8d2","(21,2) #b8c8d2","(22,2) #b8c8d2","(23,2) #b8c8d2","(24,2) #b8c8d2","(25,2) #b8c8d2","(26,2) #b8c8d2","(27,2) #b8c8d2","(28,2) #b8c8d2","(29,2) #b8c8d2","(30,2) #b8c8d2","(31,2) #b8c8d2","(32,2) #b8c8d2","(33,2) #b8c8d2","(34,2) #b8c8d2","(35,2) #b8c8d2","(36,2) #b8c8d2","(37,2) #b8c8d2","(38,2) #b8c8d2","(39,2) #b8c8d2","(40,2) #b8c8d2","(41,2) #b8c8d2","(42,2) #b8c8d2","(43,2) #b8c8d2","(44,2) #b8c8d2","(45,2) #b8c8d2","(46,2) #b8c8d2","(47,2) #b8c8d2","(48,2) #b8c8d2","(49,2) #b8c8d2"
"r03","(0,3) #c0cdd8","(1,3) #c0cdd8","(2,3) #c0cdd8","(3,3) #c0cdd8","(4,3) #c0cdd8","(5,3) #c0cdd8","(6,3) #c0cdd8","(7,3) #c0cdd8","(8,3) #c0cdd8","(9,3) #c0cdd8","(10,3) #c0cdd8","(11,3) #c0cdd8","(12,3) #c0cdd8","(13,3) #c0cdd8","(14,3) #c0cdd8","(15,3) #c0cdd8","(16,3) #c0cdd8","(17,3) #c0cdd8","(18,3) #c0cdd8","(19,3) #c0cdd8","(20,3) #c0cdd8","(21,3) #c0cdd8","(22,3) #c0cdd8","(23,3) #c0cdd8","(24,3) #c0cdd8","(25,3) #c0cdd8","(26,3) #c0cdd8","(27,3) #c0cdd8","(28,3) #c0cdd8","(29,3) #c0cdd8","(30,3) #c0cdd8","(31,3) #c0cdd8","(32,3) #c0cdd8","(33,3) #c0cdd8","(34,3) #c0cdd8","(35,3) #c0cdd8","(36,3) #c0cdd8","(37,3) #c0cdd8","(38,3) #c0cdd8","(39,3) #c0cdd8","(40,3) #c0cdd8","(41,3) #c0cdd8","(42,3) #c0cdd8","(43,3) #c0cdd8","(44,3) #c0cdd8","(45,3) #c0cdd8","(46,3) #c0cdd8","(47,3) #c0cdd8","(48,3) #c0cdd8","(49,3) #c0cdd8"
"r04","(0,4) #c8d4dc","(1,4) #c8d4dc","(2,4) #c8d4dc","(3,4) #c8d4dc","(4,4) #c8d4dc","(5,4) #c8d4dc","(6,4) #c8d4dc","(7,4) #c8d4dc","(8,4) #c8d4dc","(9,4) #c8d4dc","(10,4) #c8d4dc","(11,4) #c8d4dc","(12,4) #c8d4dc","(13,4) #c8d4dc","(14,4) #c8d4dc","(15,4) #c8d4dc","(16,4) #c8d4dc","(17,4) #c8d4dc","(18,4) #c8d4dc","(19,4) #c8d4dc","(20,4) #c8d4dc","(21,4) #c8d4dc","(22,4) #c8d4dc","(23,4) #c8d4dc","(24,4) #c8d4dc","(25,4) #c8d4dc","(26,4) #c8d4dc","(27,4) #c8d4dc","(28,4) #c8d4dc","(29,4) #c8d4dc","(30,4) #c8d4dc","(31,4) #c8d4dc","(32,4) #c8d4dc","(33,4) #c8d4dc","(34,4) #c8d4dc","(35,4) #c8d4dc","(36,4) #c8d4dc","(37,4) #c8d4dc","(38,4) #c8d4dc","(39,4) #c8d4dc","(40,4) #c8d4dc","(41,4) #c8d4dc","(42,4) #c8d4dc","(43,4) #c8d4dc","(44,4) #c8d4dc","(45,4) #c8d4dc","(46,4) #c8d4dc","(47,4) #c8d4dc","(48,4) #c8d4dc","(49,4) #c8d4dc"
"r05","(0,5) #d0dce4","(1,5) #d0dce4","(2,5) #d0dce4","(3,5) #d0dce4","(4,5) #d0dce4","(5,5) #d0dce4","(6,5) #d0dce4","(7,5) #d0dce4","(8,5) #d0dce4","(9,5) #d0dce4","(10,5) #d0dce4","(11,5) #d0dce4","(12,5) #d0dce4","(13,5) #d0dce4","(14,5) #d0dce4","(15,5) #d0dce4","(16,5) #d0dce4","(17,5) #d0dce4","(18,5) #d0dce4","(19,5) #d0dce4","(20,5) #d0dce4","(21,5) #d0dce4","(22,5) #d0dce4","(23,5) #d0dce4","(24,5) #d0dce4","(25,5) #d0dce4","(26,5) #d0dce4","(27,5) #d0dce4","(28,5) #d0dce4","(29,5) #d0dce4","(30,5) #d0dce4","(31,5) #d0dce4","(32,5) #d0dce4","(33,5) #d0dce4","(34,5) #d0dce4","(35,5) #d0dce4","(36,5) #d0dce4","(37,5) #d0dce4","(38,5) #d0dce4","(39,5) #d0dce4","(40,5) #d0dce4","(41,5) #d0dce4","(42,5) #d0dce4","(43,5) #d0dce4","(44,5) #d0dce4","(45,5) #d0dce4","(46,5) #d0dce4","(47,5) #d0dce4","(48,5) #d0dce4","(49,5) #d0dce4"
"r06","(0,6) #b8c8d2","(1,6) #b8c8d2","(2,6) #b8c8d2","(3,6) #2a4a18","(4,6) #2a4a18","(5,6) #2a4a18","(6,6) #2a4a18","(7,6) #2a4a18","(8,6) #2a4a18","(9,6) #b8c8d2","(10,6) #b8c8d2","(11,6) #b8c8d2","(12,6) #2a4a18","(13,6) #2a4a18","(14,6) #2a4a18","(15,6) #2a4a18","(16,6) #2a4a18","(17,6) #2a4a18","(18,6) #2a4a18","(19,6) #cc2222","(20,6) #ffffff","(21,6) #cc2222","(22,6) #2a4a18","(23,6) #2a4a18","(24,6) #2a4a18","(25,6) #2a4a18","(26,6) #2a4a18","(27,6) #2a4a18","(28,6) #b8c8d2","(29,6) #b8c8d2","(30,6) #b8c8d2","(31,6) #2a4a18","(32,6) #2a4a18","(33,6) #2a4a18","(34,6) #2a4a18","(35,6) #2a4a18","(36,6) #2a4a18","(37,6) #b8c8d2","(38,6) #b8c8d2","(39,6) #b8c8d2","(40,6) #2a4a18","(41,6) #2a4a18","(42,6) #2a4a18","(43,6) #2a4a18","(44,6) #2a4a18","(45,6) #2a4a18","(46,6) #2a4a18","(47,6) #2a4a18","(48,6) #2a4a18","(49,6) #2a4a18"
"r07","(0,7) #c0ccd4","(1,7) #c0ccd4","(2,7) #c0ccd4","(3,7) #2d5020","(4,7) #2d5020","(5,7) #2d5020","(6,7) #2d5020","(7,7) #2d5020","(8,7) #2d5020","(9,7) #c0ccd4","(10,7) #c0ccd4","(11,7) #c0ccd4","(12,7) #2d5020","(13,7) #2d5020","(14,7) #2d5020","(15,7) #2d5020","(16,7) #dd3333","(17,7) #ffffff","(18,7) #dd3333","(19,7) #2d5020","(20,7) #e8dcc8","(21,7) #2d5020","(22,7) #dd3333","(23,7) #ffffff","(24,7) #dd3333","(25,7) #2d5020","(26,7) #2d5020","(27,7) #2d5020","(28,7) #c0ccd4","(29,7) #c0ccd4","(30,7) #c0ccd4","(31,7) #2d5020","(32,7) #2d5020","(33,7) #2d5020","(34,7) #2d5020","(35,7) #2d5020","(36,7) #2d5020","(37,7) #c0ccd4","(38,7) #c0ccd4","(39,7) #c0ccd4","(40,7) #2d5020","(41,7) #2d5020","(42,7) #2d5020","(43,7) #2d5020","(44,7) #2d5020","(45,7) #2d5020","(46,7) #2d5020","(47,7) #2d5020","(48,7) #2d5020","(49,7) #2d5020"
"r08","(0,8) #305525","(1,8) #305525","(2,8) #305525","(3,8) #305525","(4,8) #305525","(5,8) #305525","(6,8) #305525","(7,8) #305525","(8,8) #305525","(9,8) #305525","(10,8) #305525","(11,8) #305525","(12,8) #305525","(13,8) #305525","(14,8) #305525","(15,8) #305525","(16,8) #305525","(17,8) #e8dcc8","(18,8) #305525","(19,8) #305525","(20,8) #a8f0c0","(21,8) #305525","(22,8) #305525","(23,8) #e8dcc8","(24,8) #305525","(25,8) #305525","(26,8) #305525","(27,8) #305525","(28,8) #305525","(29,8) #305525","(30,8) #305525","(31,8) #305525","(32,8) #305525","(33,8) #305525","(34,8) #305525","(35,8) #305525","(36,8) #305525","(37,8) #305525","(38,8) #305525","(39,8) #305525","(40,8) #305525","(41,8) #305525","(42,8) #305525","(43,8) #305525","(44,8) #305525","(45,8) #305525","(46,8) #305525","(47,8) #305525","(48,8) #305525","(49,8) #305525"
"r09","(0,9) #325828","(1,9) #325828","(2,9) #325828","(3,9) #325828","(4,9) #325828","(5,9) #325828","(6,9) #325828","(7,9) #325828","(8,9) #325828","(9,9) #325828","(10,9) #325828","(11,9) #325828","(12,9) #325828","(13,9) #325828","(14,9) #bb1f1f","(15,9) #ffffff","(16,9) #bb1f1f","(17,9) #a8f0c0","(18,9) #70e0a8","(19,9) #70e0a8","(20,9) #70e0a8","(21,9) #70e0a8","(22,9) #70e0a8","(23,9) #a8f0c0","(24,9) #cc2222","(25,9) #ffffff","(26,9) #cc2222","(27,9) #325828","(28,9) #325828","(29,9) #325828","(30,9) #325828","(31,9) #325828","(32,9) #325828","(33,9) #325828","(34,9) #325828","(35,9) #325828","(36,9) #325828","(37,9) #325828","(38,9) #325828","(39,9) #325828","(40,9) #325828","(41,9) #325828","(42,9) #325828","(43,9) #325828","(44,9) #325828","(45,9) #325828","(46,9) #325828","(47,9) #325828","(48,9) #325828","(49,9) #325828"
