"r\c","c00","c01","c02","c03","c04","c05","c06","c07","c08","c09","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49"
"r00","(0,0) #06050f","(1,0) #06050f","(2,0) #06050f","(3,0) #06050f","(4,0) #06050f","(5,0) #06050f","(6,0) #06050f","(7,0) #06050f","(8,0) #06050f","(9,0) #06050f","(10,0) #06050f","(11,0) #06050f","(12,0) #06050f","(13,0) #06050f","(14,0) #06050f","(15,0) #06050f","(16,0) #06050f","(17,0) #06050f","(18,0) #06050f","(19,0) #06050f","(20,0) #06050f","(21,0) #06050f","(22,0) #06050f","(23,0) #06050f","(24,0) #06050f","(25,0) #06050f","(26,0) #06050f","(27,0) #06050f","(28,0) #06050f","(29,0) #06050f","(30,0) #06050f","(31,0) #06050f","(32,0) #06050f","(33,0) #06050f","(34,0) #06050f","(35,0) #06050f","(36,0) #06050f","(37,0) #06050f","(38,0) #06050f","(39,0) #06050f","(40,0) #06050f","(41,0) #06050f","(42,0) #06050f","(43,0) #06050f","(44,0) #06050f","(45,0) #06050f","(46,0) #06050f","(47,0) #06050f","(48,0) #06050f","(49,0) #06050f"
"r01","(0,1) #07060e","(1,1) #07060e","(2,1) #07060e","(3,1) #07060e","(4,1) #07060e","(5,1) #07060e","(6,1) #07060e","(7,1) #07060e","(8,1) #07060e","(9,1) #07060e","(10,1) #07060e","(11,1) #07060e","(12,1) #07060e","(13,1) #07060e","(14,1) #07060e","(15,1) #07060e","(16,1) #07060e","(17,1) #07060e","(18,1) #07060e","(19,1) #07060e","(20,1) #07060e","(21,1) #07060e","(22,1) #07060e","(23,1) #07060e","(24,1) #07060e","(25,1) #07060e","(26,1) #07060e","(27,1) #07060e","(28,1) #07060e","(29,1) #07060e","(30,1) #07060e","(31,1) #07060e","(32,1) #07060e","(33,1) #07060e","(34,1) #07060e","(35,1) #07060e","(36,1) #07060e","(37,1) #07060e","(38,1) #07060e","(39,1) #07060e","(40,1) #07060e","(41,1) #07060e","(42,1) #07060e","(43,1) #07060e","(44,1) #07060e","(45,1) #07060e","(46,1) #07060e","(47,1) #07060e","(48,1) #07060e","(49,1) #07060e"
"r02","(0,2) #08070d","(1,2) #08070d","(2,2) #08070d","(3,2) #08070d","(4,2) #08070d","(5,2) #5860a8","(6,2) #08070d","(7,2) #08070d","(8,2) #08070d","(9,2) #08070d","(10,2) #08070d","(11,2) #08070d","(12,2) #08070d","(13,2) #08070d","(14,2) #08070d","(15,2) #08070d","(16,2) #08070d","(17,2) #08070d","(18,2) #08070d","(19,2) #08070d","(20,2) #08070d","(21,2) #08070d","(22,2) #08070d","(23,2) #08070d","(24,2) #08070d","(25,2) #08070d","(26,2) #08070d","(27,2) #08070d","(28,2) #08070d","(29,2) #08070d","(30,2) #08070d","(31,2) #08070d","(32,2) #08070d","(33,2) #08070d","(34,2) #08070d","(35,2) #5860a8","(36,2) #08070d","(37,2) #08070d","(38,2) #08070d","(39,2) #08070d","(40,2) #08070d","(41,2) #08070d","(42,2) #08070d","(43,2) #08070d","(44,2) #08070d","(45,2) #08070d","(46,2) #08070d","(47,2) #08070d","(48,2) #08070d","(49,2) #08070d"
"r03","(0,3) #06050f","(1,3) #06050f","(2,3) #06050f","(3,3) #06050f","(4,3) #06050f","(5,3) #06050f","(6,3) #06050f","(7,3) #06050f","(8,3) #06050f","(9,3) #06050f","(10,3) #06050f","(11,3) #06050f","(12,3) #06050f","(13,3) #b0b8e8","(14,3) #06050f","(15,3) #06050f","(16,3) #ffffff","(17,3) #06050f","(18,3) #06050f","(19,3) #b89868","(20,3) #d8b888","(21,3) #b89868","(22,3) #06050f","(23,3) #06050f","(24,3) #ffffff","(25,3) #06050f","(26,3) #06050f","(27,3) #b0b8e8","(28,3) #06050f","(29,3) #06050f","(30,3) #06050f","(31,3) #06050f","(32,3) #06050f","(33,3) #06050f","(34,3) #06050f","(35,3) #06050f","(36,3) #06050f","(37,3) #06050f","(38,3) #06050f","(39,3) #06050f","(40,3) #06050f","(41,3) #06050f","(42,3) #06050f","(43,3) #06050f","(44,3) #06050f","(45,3) #06050f","(46,3) #06050f","(47,3) #06050f","(48,3) #06050f","(49,3) #06050f"
"r04","(0,4) #07060e","(1,4) #07060e","(2,4) #07060e","(3,4) #07060e","(4,4) #07060e","(5,4) #07060e","(6,4) #07060e","(7,4) #07060e","(8,4) #7078c0","(9,4) #07060e","(10,4) #07060e","(11,4) #07060e","(12,4) #07060e","(13,4) #07060e","(14,4) #07060e","(15,4) #ffffff","(16,4) #ffffff","(17,4) #ffffff","(18,4) #200830","(19,4) #c8a878","(20,4) #c8a878","(21,4) #c8a878","(22,4) #200830","(23,4) #ffffff","(24,4) #ffffff","(25,4) #ffffff","(26,4) #07060e","(27,4) #07060e","(28,4) #07060e","(29,4) #07060e","(30,4) #07060e","(31,4) #07060e","(32,4) #7078c0","(33,4) #07060e","(34,4) #07060e","(35,4) #07060e","(36,4) #07060e","(37,4) #07060e","(38,4) #07060e","(39,4) #07060e","(40,4) #07060e","(41,4) #07060e","(42,4) #07060e","(43,4) #07060e","(44,4) #07060e","(45,4) #07060e","(46,4) #07060e","(47,4) #07060e","(48,4) #07060e","(49,4) #07060e"
"r05","(0,5) #08070d","(1,5) #08070d","(2,5) #08070d","(3,5) #08070d","(4,5) #08070d","(5,5) #08070d","(6,5) #08070d","(7,5) #08070d","(8,5) #08070d","(9,5) #08070d","(10,5) #08070d","(11,5) #08070d","(12,5) #a8b0e0","(13,5) #08070d","(14,5) #2a1040","(15,5) #ffffff","(16,5) #ffffff","(17,5) #2a1040","(18,5) #2a1040","(19,5) #aab4c8","(20,5) #ccd4e4","(21,5) #aab4c8","(22,5) #2a1040","(23,5) #2a1040","(24,5) #ffffff","(25,5) #ffffff","(26,5) #08070d","(27,5) #08070d","(28,5) #a8b0e0","(29,5) #08070d","(30,5) #08070d","(31,5) #08070d","(32,5) #08070d","(33,5) #08070d","(34,5) #08070d","(35,5) #08070d","(36,5) #08070d","(37,5) #08070d","(38,5) #08070d","(39,5) #08070d","(40,5) #08070d","(41,5) #08070d","(42,5) #08070d","(43,5) #08070d","(44,5) #08070d","(45,5) #08070d","(46,5) #08070d","(47,5) #08070d","(48,5) #08070d","(49,5) #08070d"
"r06","(0,6) #06050f","(1,6) #06050f","(2,6) #06050f","(3,6) #06050f","(4,6) #06050f","(5,6) #06050f","(6,6) #06050f","(7,6) #06050f","(8,6) #06050f","(9,6) #06050f","(10,6) #06050f","(11,6) #06050f","(12,6) #06050f","(13,6) #301848","(14,6) #ffffff","(15,6) #e0e8ff","(16,6) #ffffff","(17,6) #301848","(18,6) #301848","(19,6) #ccd4e4","(20,6) #ccd4e4","(21,6) #ccd4e4","(22,6) #301848","(23,6) #301848","(24,6) #ffffff","(25,6) #e0e8ff","(26,6) #ffffff","(27,6) #06050f","(28,6) #06050f","(29,6) #06050f","(30,6) #06050f","(31,6) #06050f","(32,6) #06050f","(33,6) #06050f","(34,6) #06050f","(35,6) #06050f","(36,6) #06050f","(37,6) #06050f","(38,6) #06050f","(39,6) #06050f","(40,6) #06050f","(41,6) #06050f","(42,6) #06050f","(43,6) #06050f","(44,6) #06050f","(45,6) #06050f","(46,6) #06050f","(47,6) #06050f","(48,6) #06050f","(49,6) #06050f"
"r07","(0,7) #07060e","(1,7) #07060e","(2,7) #07060e","(3,7) #07060e","(4,7) #07060e","(5,7) #07060e","(6,7) #6068b0","(7,7) #07060e","(8,7) #07060e","(9,7) #07060e","(10,7) #07060e","(11,7) #07060e","(12,7) #1e1240","(13,7) #1e1240","(14,7) #1e1240","(15,7) #ffffff","(16,7) #1e1240","(17,7) #8890a8","(18,7) #d8e0f0","(19,7) #b8c0d8","(20,7) #b8c0d8","(21,7) #b8c0d8","(22,7) #b8c0d8","(23,7) #8890a8","(24,7) #1e1240","(25,7) #ffffff","(26,7) #1e1240","(27,7) #1e1240","(28,7) #07060e","(29,7) #07060e","(30,7) #07060e","(31,7) #07060e","(32,7) #07060e","(33,7) #07060e","(34,7) #6068b0","(35,7) #07060e","(36,7) #07060e","(37,7) #07060e","(38,7) #07060e","(39,7) #07060e","(40,7) #07060e","(41,7) #07060e","(42,7) #07060e","(43,7) #07060e","(44,7) #07060e","(45,7) #07060e","(46,7) #07060e","(47,7) #07060e","(48,7) #07060e","(49,7) #07060e"
"r08","(0,8) #08070d","(1,8) #08070d","(2,8) #08070d","(3,8) #08070d","(4,8) #08070d","(5,8) #08070d","(6,8) #08070d","(7,8) #08070d","(8,8) #08070d","(9,8) #08070d","(10,8) #08070d","(11,8) #9098d0","(12,8) #1c1038","(13,8) #1c1038","(14,8) #c8d0f0","(15,8) #1c1038","(16,8) #1c1038","(17,8) #8890a8","(18,8) #707890","(19,8) #707890","(20,8) #707890","(21,8) #707890","(22,8) #707890","(23,8) #8890a8","(24,8) #1c1038","(25,8) #1c1038","(26,8) #c8d0f0","(27,8) #1c1038","(28,8) #08070d","(29,8) #9098d0","(30,8) #08070d","(31,8) #08070d","(32,8) #08070d","(33,8) #08070d","(34,8) #08070d","(35,8) #08070d","(36,8) #08070d","(37,8) #08070d","(38,8) #08070d","(39,8) #08070d","(40,8) #08070d","(41,8) #08070d","(42,8) #08070d","(43,8) #08070d","(44,8) #08070d","(45,8) #08070d","(46,8) #08070d","(47,8) #08070d","(48,8) #08070d","(49,8) #08070d"
"r09","(0,9) #06050f","(1,9) #06050f","(2,9) #06050f","(3,9) #06050f","(4,9) #5058a0","(5,9) #06050f","(6,9) #06050f","(7,9) #06050f","(8,9) #06050f","(9,9) #06050f","(10,9) #06050f","(11,9) #06050f","(12,9) #1e1240","(13,9) #1e1240","(14,9) #1e1240","(15,9) #1e1240","(16,9) #1e1240","(17,9) #8890a8","(18,9) #dde5f5","(19,9) #dde5f5","(20,9) #dde5f5","(21,9) #dde5f5","(22,9) #dde5f5","(23,9) #8890a8","(24,9) #1e1240","(25,9) #1e1240","(26,9) #1e1240","(27,9) #1e1240","(28,9) #06050f","(29,9) #06050f","(30,9) #06050f","(31,9) #06050f","(32,9) #06050f","(33,9) #06050f","(34,9) #06050f","(35,9) #06050f","(36,9) #5058a0","(37,9) #06050f","(38,9) #06050f","(39,9) #06050f","(40,9) #06050f","(41,9) #06050f","(42,9) #06050f","(43,9) #06050f","(44,9) #06050f","(45,9) #06050f","(46,9) #06050f","(47,9) #06050f","(48,9) #06050f","(49,9) #06050f"
"r10","(0,10) #07060e","(1,10) #07060e","(2,10) #07060e","(3,10) #07060e","(4,10) #07060e","(5,10) #07060e","(6,10) #6068b0","(7,10) #07060e","(8,10) #07060e","(9,10) #07060e","(10,10) #07060e","(11,10) #07060e","(12,10) #07060e","(13,10) #2a1848","(14,10) #d0d8f0","(15,10) #2a1848","(16,10) #2a1848","(17,10) #8890a8","(18,10) #ccd4e8","(19,10) #ccd4e8","(20,10) #e0eaff","(21,10) #ccd4e8","(22,10) #ccd4e8","(23,10) #8890a8","(24,10) #2a1848","(25,10) #2a1848","(26,10) #d0d8f0","(27,10) #07060e","(28,10) #07060e","(29,10) #07060e","(30,10) #07060e","(31,10) #07060e","(32,10) #07060e","(33,10) #07060e","(34,10) #6068b0","(35,10) #07060e","(36,10) #07060e","(37,10) #07060e","(38,10) #07060e","(39,10) #07060e","(40,10) #07060e","(41,10) #07060e","(42,10) #07060e","(43,10) #07060e","(44,10) #07060e","(45,10) #07060e","(46,10) #07060e","(47,10) #07060e","(48,10) #07060e","(49,10) #07060e"
"r11","(0,11) #08070d","(1,11) #08070d","(2,11) #08070d","(3,11) #08070d","(4,11) #08070d","(5,11) #08070d","(6,11) #08070d","(7,11) #08070d","(8,11) #08070d","(9,11) #08070d","(10,11) #08070d","(11,11) #9898d0","(12,11) #08070d","(13,11) #08070d","(14,11) #220e38","(15,11) #220e38","(16,11) #220e38","(17,11) #8890a8","(18,11) #ccd4e8","(19,11) #ccd4e8","(20,11) #d8e2f8","(21,11) #ccd4e8","(22,11) #ccd4e8","(23,11) #8890a8","(24,11) #220e38","(25,11) #220e38","(26,11) #08070d","(27,11) #08070d","(28,11) #08070d","(29,11) #9898d0","(30,11) #08070d","(31,11) #08070d","(32,11) #08070d","(33,11) #08070d","(34,11) #08070d","(35,11) #08070d","(36,11) #08070d","(37,11) #08070d","(38,11) #08070d","(39,11) #08070d","(40,11) #08070d","(41,11) #08070d","(42,11) #08070d","(43,11) #08070d","(44,11) #08070d","(45,11) #08070d","(46,11) #08070d","(47,11) #08070d","(48,11) #08070d","(49,11) #08070d"
