"r\c","c00","c01","c02","c03","c04","c05","c06","c07","c08","c09","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49"
"r00","(0,0) #0a4a8a","(1,0) #0a4a8a","(2,0) #0a4a8a","(3,0) #ffffff","(4,0) #c8e8ff","(5,0) #ffffff","(6,0) #c8e8ff","(7,0) #ffffff","(8,0) #0a4a8a","(9,0) #0a4a8a","(10,0) #0a4a8a","(11,0) #0a4a8a","(12,0) #0a4a8a","(13,0) #0a4a8a","(14,0) #0a4a8a","(15,0) #0a4a8a","(16,0) #0a4a8a","(17,0) #0a4a8a","(18,0) #0a4a8a","(19,0) #0a4a8a","(20,0) #0a4a8a","(21,0) #0a4a8a","(22,0) #ffffff","(23,0) #c8e8ff","(24,0) #ffffff","(25,0) #c8e8ff","(26,0) #ffffff","(27,0) #c8e8ff","(28,0) #0a4a8a","(29,0) #0a4a8a","(30,0) #0a4a8a","(31,0) #0a4a8a","(32,0) #0a4a8a","(33,0) #0a4a8a","(34,0) #0a4a8a","(35,0) #0a4a8a","(36,0) #0a4a8a","(37,0) #0a4a8a","(38,0) #0a4a8a","(39,0) #0a4a8a","(40,0) #0a4a8a","(41,0) #0a4a8a","(42,0) #0a4a8a","(43,0) #0a4a8a","(44,0) #0a4a8a","(45,0) #0a4a8a","(46,0) #0a4a8a","(47,0) #0a4a8a","(48,0) #0a4a8a","(49,0) #0a4a8a"
"r01","(0,1) #0d5298","(1,1) #0d5298","(2,1) #0d5298","(3,1) #0d5298","(4,1) #0d5298","(5,1) #0d5298","(6,1) #0d5298","(7,1) #0d5298","(8,1) #0d5298","(9,1) #ffffff","(10,1) #c8e8ff","(11,1) #ffffff","(12,1) #c8e8ff","(13,1) #ffffff","(14,1) #c8e8ff","(15,1) #0d5298","(16,1) #0d5298","(17,1) #0d5298","(18,1) #0d5298","(19,1) #0d5298","(20,1) #0d5298","(21,1) #0d5298","(22,1) #0d5298","(23,1) #0d5298","(24,1) #3a2a1a","(25,1) #3a2a1a","(26,1) #0d5298","(27,1) #0d5298","(28,1) #0d5298","(29,1) #0d5298","(30,1) #0d5298","(31,1) #0d5298","(32,1) #0d5298","(33,1) #0d5298","(34,1) #0d5298","(35,1) #0d5298","(36,1) #ffffff","(37,1) #c8e8ff","(38,1) #ffffff","(39,1) #c8e8ff","(40,1) #0d5298","(41,1) #0d5298","(42,1) #0d5298","(43,1) #0d5298","(44,1) #0d5298","(45,1) #0d5298","(46,1) #0d5298","(47,1) #0d5298","(48,1) #0d5298","(49,1) #0d5298"
"r02","(0,2) #ffffff","(1,2) #c8e8ff","(2,2) #ffffff","(3,2) #c8e8ff","(4,2) #ffffff","(5,2) #c8e8ff","(6,2) #ffffff","(7,2) #1058a0","(8,2) #1058a0","(9,2) #1058a0","(10,2) #1058a0","(11,2) #1058a0","(12,2) #1058a0","(13,2) #1058a0","(14,2) #1058a0","(15,2) #1058a0","(16,2) #1058a0","(17,2) #3a2a1a","(18,2) #3a2a1a","(19,2) #3a2a1a","(20,2) #1058a0","(21,2) #1058a0","(22,2) #1058a0","(23,2) #1058a0","(24,2) #1058a0","(25,2) #1058a0","(26,2) #1058a0","(27,2) #1058a0","(28,2) #1058a0","(29,2) #1058a0","(30,2) #ffffff","(31,2) #c8e8ff","(32,2) #ffffff","(33,2) #c8e8ff","(34,2) #ffffff","(35,2) #1058a0","(36,2) #1058a0","(37,2) #1058a0","(38,2) #1058a0","(39,2) #1058a0","(40,2) #1058a0","(41,2) #1058a0","(42,2) #1058a0","(43,2) #1058a0","(44,2) #1058a0","(45,2) #1058a0","(46,2) #1058a0","(47,2) #1058a0","(48,2) #1058a0","(49,2) #1058a0"
"r03","(0,3) #0d52a0","(1,3) #0d52a0","(2,3) #0d52a0","(3,3) #0d52a0","(4,3) #0d52a0","(5,3) #3a2a1a","(6,3) #3a2a1a","(7,3) #0d52a0","(8,3) #0d52a0","(9,3) #0d52a0","(10,3) #0d52a0","(11,3) #0d52a0","(12,3) #0d52a0","(13,3) #0d52a0","(14,3) #0d52a0","(15,3) #0d52a0","(16,3) #0d52a0","(17,3) #ffffff","(18,3) #c8e8ff","(19,3) #ffffff","(20,3) #c8e8ff","(21,3) #0d52a0","(22,3) #aaddff","(23,3) #0d52a0","(24,3) #aaddff","(25,3) #0d52a0","(26,3) #0d52a0","(27,3) #0d52a0","(28,3) #0d52a0","(29,3) #0d52a0","(30,3) #0d52a0","(31,3) #0d52a0","(32,3) #0d52a0","(33,3) #0d52a0","(34,3) #0d52a0","(35,3) #0d52a0","(36,3) #0d52a0","(37,3) #0d52a0","(38,3) #0d52a0","(39,3) #0d52a0","(40,3) #0d52a0","(41,3) #0d52a0","(42,3) #0d52a0","(43,3) #0d52a0","(44,3) #0d52a0","(45,3) #0d52a0","(46,3) #0d52a0","(47,3) #0d52a0","(48,3) #0d52a0","(49,3) #0d52a0"
"r04","(0,4) #0a4a8a","(1,4) #0a4a8a","(2,4) #0a4a8a","(3,4) #0a4a8a","(4,4) #0a4a8a","(5,4) #0a4a8a","(6,4) #0a4a8a","(7,4) #0a4a8a","(8,4) #0a4a8a","(9,4) #0a4a8a","(10,4) #0a4a8a","(11,4) #0a4a8a","(12,4) #0a4a8a","(13,4) #ffffff","(14,4) #c8e8ff","(15,4) #ffffff","(16,4) #c8e8ff","(17,4) #ffffff","(18,4) #c8e8ff","(19,4) #0a4a8a","(20,4) #0a4a8a","(21,4) #aaddff","(22,4) #0a4a8a","(23,4) #2a1a0a","(24,4) #0a4a8a","(25,4) #0a4a8a","(26,4) #0a4a8a","(27,4) #0a4a8a","(28,4) #0a4a8a","(29,4) #0a4a8a","(30,4) #0a4a8a","(31,4) #0a4a8a","(32,4) #0a4a8a","(33,4) #0a4a8a","(34,4) #0a4a8a","(35,4) #0a4a8a","(36,4) #0a4a8a","(37,4) #0a4a8a","(38,4) #0a4a8a","(39,4) #0a4a8a","(40,4) #0a4a8a","(41,4) #0a4a8a","(42,4) #0a4a8a","(43,4) #0a4a8a","(44,4) #0a4a8a","(45,4) #0a4a8a","(46,4) #0a4a8a","(47,4) #0a4a8a","(48,4) #0a4a8a","(49,4) #0a4a8a"
"r05","(0,5) #084480","(1,5) #ffffff","(2,5) #c8e8ff","(3,5) #ffffff","(4,5) #c8e8ff","(5,5) #ffffff","(6,5) #084480","(7,5) #084480","(8,5) #084480","(9,5) #084480","(10,5) #084480","(11,5) #084480","(12,5) #084480","(13,5) #084480","(14,5) #084480","(15,5) #084480","(16,5) #084480","(17,5) #084480","(18,5) #084480","(19,5) #084480","(20,5) #084480","(21,5) #084480","(22,5) #2a1a0a","(23,5) #2a1a0a","(24,5) #084480","(25,5) #aaddff","(26,5) #c8e8ff","(27,5) #ffffff","(28,5) #c8e8ff","(29,5) #3a2a1a","(30,5) #3a2a1a","(31,5) #ffffff","(32,5) #084480","(33,5) #084480","(34,5) #084480","(35,5) #084480","(36,5) #084480","(37,5) #084480","(38,5) #084480","(39,5) #084480","(40,5) #084480","(41,5) #084480","(42,5) #084480","(43,5) #084480","(44,5) #084480","(45,5) #084480","(46,5) #084480","(47,5) #084480","(48,5) #084480","(49,5) #084480"
"r06","(0,6) #0a4a8a","(1,6) #0a4a8a","(2,6) #0a4a8a","(3,6) #0a4a8a","(4,6) #0a4a8a","(5,6) #0a4a8a","(6,6) #0a4a8a","(7,6) #ffffff","(8,6) #c8e8ff","(9,6) #ffffff","(10,6) #c8e8ff","(11,6) #0a4a8a","(12,6) #0a4a8a","(13,6) #0a4a8a","(14,6) #0a4a8a","(15,6) #0a4a8a","(16,6) #0a4a8a","(17,6) #0a4a8a","(18,6) #0a4a8a","(19,6) #0a4a8a","(20,6) #aaddff","(21,6) #2a1a0a","(22,6) #2a1a0a","(23,6) #0a4a8a","(24,6) #2a1a0a","(25,6) #0a4a8a","(26,6) #0a4a8a","(27,6) #0a4a8a","(28,6) #0a4a8a","(29,6) #0a4a8a","(30,6) #0a4a8a","(31,6) #0a4a8a","(32,6) #0a4a8a","(33,6) #ffffff","(34,6) #c8e8ff","(35,6) #ffffff","(36,6) #c8e8ff","(37,6) #0a4a8a","(38,6) #0a4a8a","(39,6) #0a4a8a","(40,6) #0a4a8a","(41,6) #0a4a8a","(42,6) #0a4a8a","(43,6) #0a4a8a","(44,6) #0a4a8a","(45,6) #0a4a8a","(46,6) #0a4a8a","(47,6) #0a4a8a","(48,6) #0a4a8a","(49,6) #0a4a8a"
"r07","(0,7) #0c5090","(1,7) #0c5090","(2,7) #0c5090","(3,7) #0c5090","(4,7) #0c5090","(5,7) #0c5090","(6,7) #0c5090","(7,7) #0c5090","(8,7) #0c5090","(9,7) #0c5090","(10,7) #0c5090","(11,7) #0c5090","(12,7) #0c5090","(13,7) #0c5090","(14,7) #0c5090","(15,7) #0c5090","(16,7) #0c5090","(17,7) #0c5090","(18,7) #0c5090","(19,7) #ffffff","(20,7) #c8e8ff","(21,7) #ffffff","(22,7) #2a1a0a","(23,7) #2a1a0a","(24,7) #0c5090","(25,7) #aaddff","(26,7) #0c5090","(27,7) #0c5090","(28,7) #0c5090","(29,7) #0c5090","(30,7) #0c5090","(31,7) #0c5090","(32,7) #0c5090","(33,7) #0c5090","(34,7) #0c5090","(35,7) #0c5090","(36,7) #0c5090","(37,7) #0c5090","(38,7) #3a2a1a","(39,7) #3a2a1a","(40,7) #0c5090","(41,7) #0c5090","(42,7) #0c5090","(43,7) #0c5090","(44,7) #0c5090","(45,7) #0c5090","(46,7) #0c5090","(47,7) #0c5090","(48,7) #0c5090","(49,7) #0c5090"
"r08","(0,8) #0e5498","(1,8) #0e5498","(2,8) #0e5498","(3,8) #0e5498","(4,8) #0e5498","(5,8) #0e5498","(6,8) #0e5498","(7,8) #0e5498","(8,8) #0e5498","(9,8) #0e5498","(10,8) #0e5498","(11,8) #3a2a1a","(12,8) #3a2a1a","(13,8) #0e5498","(14,8) #0e5498","(15,8) #ffffff","(16,8) #c8e8ff","(17,8) #ffffff","(18,8) #c8e8ff","(19,8) #ffffff","(20,8) #c8e8ff","(21,8) #2a1a0a","(22,8) #0e5498","(23,8) #0e5498","(24,8) #2a1a0a","(25,8) #0e5498","(26,8) #0e5498","(27,8) #0e5498","(28,8) #0e5498","(29,8) #0e5498","(30,8) #0e5498","(31,8) #0e5498","(32,8) #0e5498","(33,8) #0e5498","(34,8) #0e5498","(35,8) #0e5498","(36,8) #0e5498","(37,8) #0e5498","(38,8) #0e5498","(39,8) #0e5498","(40,8) #0e5498","(41,8) #0e5498","(42,8) #0e5498","(43,8) #0e5498","(44,8) #0e5498","(45,8) #0e5498","(46,8) #0e5498","(47,8) #0e5498","(48,8) #0e5498","(49,8) #0e5498"
"r09","(0,9) #1058a2","(1,9) #1058a2","(2,9) #ffffff","(3,9) #c8e8ff","(4,9) #ffffff","(5,9) #c8e8ff","(6,9) #ffffff","(7,9) #c8e8ff","(8,9) #1058a2","(9,9) #1058a2","(10,9) #1058a2","(11,9) #1058a2","(12,9) #1058a2","(13,9) #1058a2","(14,9) #1058a2","(15,9) #1058a2","(16,9) #1058a2","(17,9) #1058a2","(18,9) #1058a2","(19,9) #1058a2","(20,9) #1058a2","(21,9) #1058a2","(22,9) #aaddff","(23,9) #1058a2","(24,9) #aaddff","(25,9) #1058a2","(26,9) #1058a2","(27,9) #1058a2","(28,9) #ffffff","(29,9) #c8e8ff","(30,9) #ffffff","(31,9) #c8e8ff","(32,9) #ffffff","(33,9) #c8e8ff","(34,9) #1058a2","(35,9) #1058a2","(36,9) #1058a2","(37,9) #1058a2","(38,9) #1058a2","(39,9) #1058a2","(40,9) #1058a2","(41,9) #1058a2","(42,9) #1058a2","(43,9) #1058a2","(44,9) #1058a2","(45,9) #1058a2","(46,9) #1058a2","(47,9) #1058a2","(48,9) #1058a2","(49,9) #1058a2"
